Time,w1,x1,y1,z1,loc1_x,loc1_y,loc1_z,time2,w2,x2,y2,z2,loc2_x,loc2_y,loc2_z
1703155192.225039,-0.011755693703889847,0.03524360433220863,0.1528034806251526,0.9875579476356506,33.07234573364258,7.493825435638428,21.297588348388672,1703155192.225054,0.7347912788391113,0.009011552669107914,-0.10360971093177795,-0.6702727675437927,21.014301300048828,-7.222292423248291,22.264787673950195
1703155192.2333288,-0.011845439672470093,0.03524811565876007,0.1527968943119049,0.9875577092170715,33.06132888793945,7.493359565734863,21.2950439453125,1703155192.233338,0.7348638772964478,0.008998792618513107,-0.10367754101753235,-0.6701827645301819,21.007274627685547,-7.223679065704346,22.26367950439453
1703155192.2417128,-0.011914879083633423,0.03525114431977272,0.15279914438724518,0.9875564575195312,33.050960540771484,7.492232322692871,21.294511795043945,1703155192.24172,0.7349372506141663,0.00916046928614378,-0.10380097478628159,-0.6700810194015503,21.0025691986084,-7.2234721183776855,22.26445960998535
1703155192.250004,-0.01196504756808281,0.035286203026771545,0.1528194397687912,0.9875514507293701,33.04263687133789,7.492966175079346,21.292587280273438,1703155192.250012,0.7350513339042664,0.00942839402705431,-0.10390321165323257,-0.6699362993240356,20.999486923217773,-7.2224507331848145,22.265947341918945
1703155192.258377,-0.012013090774416924,0.035213738679885864,0.15279783308506012,0.9875568151473999,33.03221130371094,7.493429660797119,21.296077728271484,1703155192.258389,0.7351944446563721,0.009845773689448833,-0.10411227494478226,-0.6697407364845276,20.996793746948242,-7.221390247344971,22.26861000061035
1703155192.2667599,-0.01201874390244484,0.03520616143941879,0.15277069807052612,0.9875611662864685,33.02471160888672,7.49222469329834,21.296728134155273,1703155192.266774,0.7353160381317139,0.010322975926101208,-0.10443327575922012,-0.6695500612258911,20.994497299194336,-7.219724178314209,22.271751403808594
1703155192.27507,-0.012014573439955711,0.035194702446460724,0.15279345214366913,0.987558126449585,33.016117095947266,7.4915900230407715,21.299589157104492,1703155192.2752562,0.7353893518447876,0.010722328908741474,-0.10460084676742554,-0.6694371700286865,20.991647720336914,-7.219056129455566,22.274578094482422
1703155192.283339,-0.012025276198983192,0.03519315645098686,0.15282833576202393,0.9875526428222656,33.007469177246094,7.4934797286987305,21.303213119506836,1703155192.283347,0.7354614734649658,0.01096456591039896,-0.1046731173992157,-0.6693426370620728,20.988025665283203,-7.217911720275879,22.278013229370117
1703155192.2916741,-0.012057305313646793,0.0351894237101078,0.1528627723455429,0.9875470399856567,32.99787521362305,7.495436668395996,21.308698654174805,1703155192.291681,0.7355376482009888,0.011080981232225895,-0.10468699783086777,-0.6692548990249634,20.983383178710938,-7.217447280883789,22.28165626525879
1703155192.299962,-0.012080064043402672,0.03519665449857712,0.15282368659973145,0.9875525832176208,32.98890686035156,7.496992588043213,21.31428337097168,1703155192.299971,0.7356175184249878,0.011128845624625683,-0.10469480603933334,-0.6691650748252869,20.978351593017578,-7.215453624725342,22.28592872619629
1703155192.30847,-0.012114664539694786,0.03520599380135536,0.15272442996501923,0.9875671863555908,32.97902297973633,7.50065279006958,21.320241928100586,1703155192.3084831,0.7357034087181091,0.01124028954654932,-0.1046719029545784,-0.6690723299980164,20.971065521240234,-7.213784217834473,22.29155158996582
1703155192.316714,-0.01216283068060875,0.03523207828402519,0.15243405103683472,0.9876105189323425,32.9697265625,7.502028465270996,21.324678421020508,1703155192.316721,0.7358019948005676,0.011338602751493454,-0.10458548367023468,-0.668975830078125,20.962806701660156,-7.21274471282959,22.297779083251953
1703155192.3250089,-0.012256777845323086,0.0351950041949749,0.15214169025421143,0.987655758857727,32.95834732055664,7.507088661193848,21.330047607421875,1703155192.325017,0.7359305620193481,0.011419677175581455,-0.1046128123998642,-0.6688287854194641,20.95410919189453,-7.21062707901001,22.304723739624023
1703155192.333367,-0.012315476313233376,0.035204824060201645,0.1518673449754715,0.9876968860626221,32.94718551635742,7.509018421173096,21.335033416748047,1703155192.333374,0.7360212802886963,0.011558017693459988,-0.10466437041759491,-0.6687184572219849,20.945777893066406,-7.20981502532959,22.311145782470703
1703155192.341703,-0.012422893196344376,0.03520091995596886,0.15168409049510956,0.9877238273620605,32.93424987792969,7.514113903045654,21.341115951538086,1703155192.34171,0.7361094355583191,0.0116420928388834,-0.10458237677812576,-0.6686328053474426,20.938230514526367,-7.20883846282959,22.317031860351562
1703155192.350079,-0.012465753592550755,0.035247184336185455,0.15137596428394318,0.9877689480781555,32.92292785644531,7.515229225158691,21.345495223999023,1703155192.350092,0.7362304329872131,0.011669362895190716,-0.10443678498268127,-0.6685218214988708,20.931232452392578,-7.207294464111328,22.323467254638672
1703155192.358331,-0.012604988180100918,0.035139042884111404,0.15108239650726318,0.9878159761428833,32.90812301635742,7.520503044128418,21.353084564208984,1703155192.358521,0.7363593578338623,0.011826691217720509,-0.10447536408901215,-0.6683710813522339,20.92440414428711,-7.205935001373291,22.33091163635254
1703155192.366626,-0.012723215855658054,0.035144537687301636,0.15080341696739197,0.9878568649291992,32.89535140991211,7.523707389831543,21.35723304748535,1703155192.366633,0.7364778518676758,0.012184921652078629,-0.10463930666446686,-0.6682084202766418,20.918413162231445,-7.204225540161133,22.337791442871094
1703155192.374964,-0.012815916910767555,0.03511586785316467,0.15057113766670227,0.9878921508789062,32.880245208740234,7.526432037353516,21.364524841308594,1703155192.374971,0.736584484577179,0.01258416660130024,-0.1047268956899643,-0.6680696606636047,20.911623001098633,-7.2022528648376465,22.344579696655273
