Degrees_x,timestamp,Sensor1_x,Sensor1_y,Sensor1_z,Sensor2_x,Sensor2_y,Sensor2_z,Diff_x,Diff_y,Diff_z,Diff_inv_x,Diff_inv_y,Diff_inv_z,minus_Sensor1_x_plus_Sensor2_x,minus_Sensor1_y_plus_Sensor2_y,minus_Sensor1_z_plus_Sensor2_z,minus_Sensor2_x_plus_Sensor1_x,minus_Sensor2_y_plus_Sensor1_y,minus_Sensor2_z_plus_Sensor1_z,timestamp_2,Sensor1_x_2,Sensor1_y_2,Sensor1_z_2,Sensor2_x_2,Sensor2_y_2,Sensor2_z_2,Diff_x_2,Diff_y_2,Diff_z_2,Diff_inv_x_2,Diff_inv_y_2,Diff_inv_z_2,minus_Sensor1_x_plus_Sensor2_x_2,minus_Sensor1_y_plus_Sensor2_y_2,minus_Sensor1_z_plus_Sensor2_z_2,minus_Sensor2_x_plus_Sensor1_x_2,minus_Sensor2_y_plus_Sensor1_y_2,minus_Sensor2_z_plus_Sensor1_z_2,timestamp_3,Sensor1_x_3,Sensor1_y_3,Sensor1_z_3,Sensor2_x_3,Sensor2_y_3,Sensor2_z_3,Diff_x_3,Diff_y_3,Diff_z_3,Diff_inv_x_3,Diff_inv_y_3,Diff_inv_z_3,minus_Sensor1_x_plus_Sensor2_x_3,minus_Sensor1_y_plus_Sensor2_y_3,minus_Sensor1_z_plus_Sensor2_z_3,minus_Sensor2_x_plus_Sensor1_x_3,minus_Sensor2_y_plus_Sensor1_y_3,minus_Sensor2_z_plus_Sensor1_z_3,timestamp_avg,Sensor1_x_avg,Sensor1_y_avg,Sensor1_z_avg,Sensor2_x_avg,Sensor2_y_avg,Sensor2_z_avg,Diff_x_avg,Diff_y_avg,Diff_z_avg,Diff_inv_x_avg,Diff_inv_y_avg,Diff_inv_z_avg,minus_Sensor2_x_plus_Sensor1_x_avg,minus_Sensor2_y_plus_Sensor1_y_avg,minus_Sensor2_z_plus_Sensor1_z_avg
70,2251.5,-18.81895506193385,12.081233177094475,-1.8272065923863365,-83.6412815801539,-2.681606284857335,-4.439837214471469,70.0,-8.399222126401197,8.343987580626123,-66.0,-6.073341821374648,7.332840486183384,-64.82232651822005,-14.76283946195181,-2.612630622085132,68.69822967874956,-2.9127511392343655,8.134929033867735,2778.5,-17.667830833943206,11.775883658492708,-5.603166418387288,-82.36805267287939,-3.1642622873764887,-5.75191800070508,70.0,-9.692305215077509,5.5601745220652425,-66.0,-2.998332208368225,7.289808004122599,-64.70022183893619,-14.940145945869197,-0.14875158231779206,68.57612499946566,-2.7354446553169796,5.671049994100395,3314.5,-14.54802775277246,11.703937552397928,-6.036851278449692,-79.3765010061376,-1.562846313155886,-6.445129261155935,70.0,-11.061963932770741,3.9405427467027168,-65.5,-0.9844982135350709,6.6952005964433505,-64.82847325336515,-13.266783865553814,-0.4082779827062426,68.70437641389464,-4.408806735632362,5.930576394488845,2781.5,-17.01160454954984,11.853684795995036,-4.489074763074439,-81.79527841972363,-2.4695716284632367,-5.545628158777494,70.0,-9.717830424749815,5.948234949798028,-65.83333333333333,-3.3520574144259814,7.105949695583111,68.65957703070329,-3.3523341767279025,6.578851807485658
69,2253.0,-18.83801802954016,12.055785770989381,-2.008762538632493,-82.64091853078014,-2.745916411472828,-4.297042741758067,69.0,-8.191754260758914,8.211807735924266,-65.0,-6.168258111114007,7.470961744199593,-63.80290050123998,-14.80170218246221,-2.2882802031255736,67.67880366176946,-2.8738884187239666,7.810578614908176,2780.5,-17.43822916713348,11.726573866905877,-5.581368170671752,-81.21806965954893,-3.054291947339289,-5.800554647148443,69.0,-9.747340314754002,5.565169708032142,-65.0,-3.097651097753894,7.188322295197297,-63.77984049241545,-14.780865814245166,-0.21918647647669243,67.65574365294495,-2.89472478694101,5.741484888259295,3316.5,-14.390759773333336,11.694376124544434,-6.0580548630680005,-78.2557865374485,-1.5396560221398672,-6.413196363710919,69.0,-10.983185211157693,3.9721039257958464,-65.0,-1.1577248535575397,6.7357593819206345,-63.865026764115164,-13.2340321466843,-0.35514150064291883,67.74092992464466,-4.441558454501876,5.877439912425522,2783.3333333333335,-16.889002323335657,11.825578587479896,-4.549395190790748,-80.70492490925919,-2.446621460317328,-5.503597917539143,69.0,-9.640759928890203,5.916360456584084,-65.0,-3.4745446874751464,7.1316811404391744,67.69182574645303,-3.403390553388951,6.476501138530998
68,2254.5,-18.85988226418285,12.006306949755231,-2.1701538376006395,-81.59033607418104,-2.8234372799156677,-4.303902229086055,68.0,-8.131506179313035,8.173590932387636,-64.0,-6.29536238197371,7.428761253604007,-62.730453809998195,-14.8297442296709,-2.1337483914854154,66.60635697052768,-2.845846371515276,7.656046803268019,2783.0,-17.145298182988313,11.657845474154856,-5.548261420223398,-79.74532697031701,-2.9598451916629394,-5.631411332544478,68.0,-9.59782654351653,5.516714956113431,-63.666666666666664,-3.269923783074819,7.278015057511364,-62.600028787328704,-14.617690665817795,-0.08314991232107971,66.4759319478582,-3.057899935368381,5.6054483241036825,3318.5,-14.241825086000791,11.683790432867028,-6.0871680324778925,-77.10066661969151,-1.5252488430985232,-6.339630640832077,68.0,-10.86084151122224,3.9868969731308064,-64.0,-1.3417984570901496,6.817995390044584,-62.85884153369072,-13.20903927596555,-0.25246260835418477,66.73474469422021,-4.466551325220626,5.774761020136788,2785.3333333333335,-16.74900184439065,11.782647618925706,-4.60186109676731,-79.47877655472986,-2.436177104892377,-5.42498140082087,68.0,-9.53005807801727,5.892400953877292,-63.888888888888886,-3.6356948740462265,7.174923900386651,66.60567787086869,-3.456765877368094,6.345418715836163
67,2256.0,-18.883702390144933,11.97153908652064,-2.2928250566797885,-80.4966758740483,-2.9108147297109173,-4.377746574368314,67.0,-8.104892120360576,8.21394262374189,-63.0,-6.482275185849967,7.314442811430163,-61.61297348390336,-14.882353816231557,-2.0849215176885254,65.48887664443285,-2.793236784954619,7.607219929471128,2785.5,-16.868361869291803,11.591757771477415,-5.602078592438398,-78.26638265362692,-2.853216865570223,-5.3854937459302255,67.0,-9.385823174728921,5.330147957012338,-62.5,-3.3562661881456366,7.481479502604762,-61.39802078433511,-14.444974637047638,0.21658484650817167,65.2739239448646,-3.230615964138538,5.305713565274431,3320.5,-14.077242872964726,11.672025692394111,-6.238505677630842,-75.92489407601991,-1.549600189640587,-6.209402194994334,67.0,-10.671332289212451,3.8847547426984805,-63.0,-1.4557111569477577,7.009123795611768,-61.847651203055186,-13.221625882034699,0.029103482636508637,65.72355436358467,-4.453964719151477,5.493194929146094,2787.3333333333335,-16.60976904413382,11.74510751679739,-4.711136442249676,-78.22931753456504,-2.4378772616405757,-5.324214171764291,67.0,-9.387349194767316,5.80961510781757,-62.833333333333336,-3.764750843647787,7.2683487032155645,65.4954516509607,-3.4926058227482115,6.135376141297217
66,2257.0,-18.91021493694063,11.983917598505277,-2.3574134805686207,-79.747518745145,-2.9726381099712067,-4.501399504042779,66.0,-8.1100816984537,8.29820742500549,-62.0,-6.648231947921687,7.185851257710416,-60.83730380820437,-14.956555708476484,-2.1439860234741586,64.71320696873386,-2.7190348927096917,7.666284435256761,2787.0,-16.71136025013154,11.547832898280594,-5.697508440451538,-77.36940589415728,-2.7687434897169863,-5.316055066764934,66.0,-9.34317906120509,5.170638112336926,-62.0,-3.3336699805461034,7.549642767639802,-60.65804564402574,-14.31657638799758,0.3814533736866048,64.53394880455522,-3.359014213188596,5.140845038095998,3322.5,-13.89635224761241,11.65023037403348,-6.477304915470921,-74.73574567056527,-1.5850756797285488,-6.076056822432261,66.0,-10.483910713137181,3.6974473371526253,-62.0,-1.4999399132153024,7.236622105840072,-60.83939342295285,-13.235306053762027,0.4012480930386588,64.71529658348234,-4.440284547424149,5.121050318743944,2788.8333333333335,-16.505975811561527,11.727326956939784,-4.844075612163693,-77.28422343662253,-2.4421524264722474,-5.297837131079991,66.0,-9.31239049093199,5.72209762483168,-62.0,-3.8272806138943642,7.3240387103967635,64.65415078559047,-3.5061112177741456,5.976059930698901
65,2258.5,-18.949010193366917,12.002060645287468,-2.437364509468103,-78.61600111033479,-3.0572728082345746,-4.793416867607455,65.0,-8.207617544569192,8.490254834597177,-61.0,-6.906086969029922,6.8757232111832955,-59.66699091696786,-15.059333453522042,-2.3560523581393515,63.54289407749735,-2.6162571476641343,7.878350769921955,2788.5,-16.561617251862437,11.513983976320198,-5.732057060042609,-76.4396223591959,-2.690971942956484,-5.301662804345819,65.0,-9.334347922747439,5.105873927329151,-61.0,-3.3847507647211463,7.542280884501597,-59.87800510733346,-14.204955919276681,0.4303942556967906,63.75390826786294,-3.4706346819094955,5.091904156085812,3324.5,-13.74155665396168,11.658808292435928,-6.691557887790509,-73.51132106696241,-1.627755798350004,-5.889740219192266,65.0,-10.211663091251562,3.5136277591287026,-61.0,-1.604821870006714,7.535201587558003,-59.76976441300073,-13.286564090785934,0.8018176685982428,63.64566757353021,-4.389026510400243,4.7204807431843605,2790.5,-16.417394699730345,11.724950971347866,-4.953659819100407,-76.18898151216437,-2.4586668498470208,-5.328273297048513,65.0,-9.25120951952273,5.703252173685011,-61.0,-3.9652198679192607,7.317735227747632,63.647489972963506,-3.491972779991291,5.89691188973071
64,2260.0,-18.987409797191287,12.02472372988533,-2.496646949503862,-77.50501661850588,-3.1415436578169524,-5.068933401567713,64.0,-8.279992958300596,8.698974406458191,-60.0,-7.1801408889110325,6.575080639483477,-58.51760682131459,-15.166267387702284,-2.572286452063851,62.39350998184407,-2.509323213483892,8.094584863846453,2790.5,-16.385845416200475,11.526184681996762,-5.652415631106221,-75.1388736355544,-2.5767924089667047,-5.316011950175418,64.0,-9.294575013324067,5.158496669765142,-60.0,-3.5981028990127113,7.482461304996983,-58.75302821935392,-14.102977090963467,0.3364036809308031,62.628931379883404,-3.57261351022271,5.1858947308518,3326.5,-13.607035405007682,11.694704575923257,-6.900157360871253,-72.24651947546293,-1.7309988986282738,-5.672127230536472,64.0,-9.850401701431196,3.3682110730329153,-59.5,-1.8052809286296634,7.888360353741962,-58.639484070455254,-13.42570347455153,1.2280301303347807,62.51538723098473,-4.249887126634646,4.294268281447822,2792.3333333333335,-16.32676353946648,11.748537662601782,-5.016406647160445,-74.96346990984108,-2.4831116551373102,-5.352357527426534,64.0,-9.141656557685286,5.741894049752084,-59.833333333333336,-4.194508238851136,7.315300766074141,62.512609530904065,-3.443941283447083,5.858249292048693
63,2261.5,-19.010049952378374,12.014253622301727,-2.5589077378184912,-76.43041277512623,-3.2183504934229257,-5.172207964023691,63.0,-8.237197839566125,8.810007485437751,-58.5,-7.417096869059954,6.420121968322035,-57.42036282274785,-15.232604115724651,-2.6133002262052,61.29626598327734,-2.4429864854615246,8.135598637987803,2792.5,-16.231736922988727,11.536107486207982,-5.599620321720851,-73.80456230431392,-2.4339326066079607,-5.228995532097397,63.0,-9.183285878015337,5.109915365156651,-59.0,-3.770101031421819,7.5267524637632075,-57.5728253813252,-13.970040092815943,0.37062478962345446,61.44872854185468,-3.7055505083702345,5.151673622159148,3328.0,-13.501222622383727,11.70622810671437,-7.08357505572545,-71.28071053809563,-1.8622685530132557,-5.56253100648599,63.0,-9.61146765582113,3.30037009037609,-59.0,-1.983010737618273,8.101605212871648,-57.779487915711904,-13.568496659727625,1.5210440492394595,61.655391076241386,-4.107093941458551,4.001254362543143,2794.0,-16.247669832583608,11.752196405074693,-5.080701038421598,-73.83856187251193,-2.504850551014714,-5.32124483420236,63.0,-9.010650457800864,5.740097646990164,-58.833333333333336,-4.390069546033348,7.349493214985631,61.466795200457796,-3.41854364509677,5.762842207563364
62,2263.0,-19.021754866893506,11.99482295347022,-2.66160875292033,-75.38042332190635,-3.2813766723074886,-5.0916338581681,62.0,-8.05392020148018,8.767290432883645,-58.0,-7.59399926987711,6.463656815497148,-56.35866845501285,-15.276199625777707,-2.43002510524777,60.23457161554233,-2.399390975408469,7.952323517030373,2794.0,-16.1126815768199,11.523682761652838,-5.6353669480397475,-72.8212688923076,-2.33125804709345,-4.982953705997487,62.0,-8.969502220555217,4.901675513112991,-58.0,-3.8235968526112547,7.759693635802101,-56.708587315487705,-13.854940808746289,0.6524132420422601,60.58449047601719,-3.8206497924398874,4.869885169740343,3329.5,-13.39890456900396,11.70962244977098,-7.28719918765239,-70.30347598626923,-2.0209466000711633,-5.626518462640248,62.0,-9.508900976890576,3.323854896320638,-58.0,-2.172743910064858,8.147075295657725,-56.90457141726527,-13.730569049842146,1.660680725012142,60.78047457779475,-3.9450215513440314,3.861617686770461,2795.5,-16.177780337572454,11.742709388298012,-5.194724962870822,-72.83505606682773,-2.5445271064907007,-5.233702008935278,62.0,-8.844107799641991,5.664273614105757,-58.0,-4.530113344184408,7.456808582318992,60.53317888978476,-3.3883541063974625,5.561275457847059
61,2264.5,-19.001272013786846,11.955710677552567,-2.825713859871005,-74.35609598948555,-3.337346924423114,-4.796314859816276,61.0,-7.719394342180856,8.527811180334135,-56.5,-7.690340314737037,6.74322499679741,-55.35482397569871,-15.293057601975683,-1.9706009999452705,59.2307271362282,-2.3825329992104933,7.4928994117278735,2795.5,-15.996755540103567,11.51110297902928,-5.674092242276391,-71.84973063571475,-2.2977497899807666,-4.524188479090926,61.0,-8.547573387621117,4.623360546346818,-57.0,-3.9400066322079645,8.20604849686477,-55.852975095611185,-13.808852769010048,1.149903763185466,59.72887825614066,-3.8667378321761285,4.372394648597137,3331.5,-13.278000617002368,11.74030387776098,-7.515101540307372,-69.01023004545665,-2.18805160300135,-5.986531602919509,61.0,-9.591030325559817,3.5115716724072987,-57.0,-2.439189580988489,7.933685405552854,-55.73222942845428,-13.928355480762331,1.528569937387862,59.608132588983764,-3.747235120423846,3.9937284743947408,2797.1666666666665,-16.092009390297594,11.735705844780943,-5.338302547484922,-71.73868555688564,-2.6077161058017437,-5.102344980608904,61.0,-8.619332685120597,5.554247799696085,-56.833333333333336,-4.689845509311163,7.6276529664050114,59.52257932711754,-3.332168650603489,5.286340844906584
