Degrees_x,timestamp_avg,Sensor1_x_avg,Sensor1_y_avg,Sensor1_z_avg,Sensor2_x_avg,Sensor2_y_avg,Sensor2_z_avg,Diff_x_avg,Diff_y_avg,Diff_z_avg,Diff_inv_x_avg,Diff_inv_y_avg,Diff_inv_z_avg
-120,,,,,,,,,,,,,
-119,,,,,,,,,,,,,
-118,,,,,,,,,,,,,
-117,,,,,,,,,,,,,
-116,,,,,,,,,,,,,
-115,,,,,,,,,,,,,
-114,,,,,,,,,,,,,
-113,,,,,,,,,,,,,
-112,,,,,,,,,,,,,
-111,,,,,,,,,,,,,
-110,,,,,,,,,,,,,
-109,,,,,,,,,,,,,
-108,,,,,,,,,,,,,
-107,,,,,,,,,,,,,
-106,,,,,,,,,,,,,
-105,,,,,,,,,,,,,
-104,,,,,,,,,,,,,
-103,,,,,,,,,,,,,
-102,,,,,,,,,,,,,
-101,,,,,,,,,,,,,
-100,,,,,,,,,,,,,
-99,,,,,,,,,,,,,
-98,,,,,,,,,,,,,
-97,,,,,,,,,,,,,
-96,,,,,,,,,,,,,
-95,,,,,,,,,,,,,
-94,,,,,,,,,,,,,
-93,,,,,,,,,,,,,
-92,,,,,,,,,,,,,
-91,,,,,,,,,,,,,
-90,,,,,,,,,,,,,
-89,,,,,,,,,,,,,
-88,,,,,,,,,,,,,
-87,,,,,,,,,,,,,
-86,,,,,,,,,,,,,
-85,,,,,,,,,,,,,
-84,-3129.5,16.75285960406065,-10.978673535560212,6.236157019600501,95.54764432120828,1.1409922839357909,5.7283341752448935,-84.0,11.994630007156665,-1.80595411763781,79.0,-2.884377049913383,-6.222888561688449
-83,-2921.8387096774195,18.863791099341533,-11.229263454862313,6.748954304567792,96.71208268200984,2.8128297310053156,6.6673633671318,-83.0,12.290454152478283,-3.2093725508711426,78.72811059907833,-1.5051814149419411,-5.683310625929343
-82,-2947.125,20.351886235646973,-12.317430031781434,5.3478663505943445,96.94092433878171,3.0678955899023634,7.581414325456423,-82.0,11.955316232269201,-5.195183951303756,77.52064896755162,0.6156175533152876,-5.612238093310527
-81,-2980.1935483870966,20.00391153870769,-12.433419560719397,5.692495086622749,95.8942856706909,3.180187387243299,7.557424424972831,-81.0,11.73002713761531,-5.037759441712698,76.9,0.5714947842613345,-5.858308660215487
-80,-3020.75,18.201175974296767,-11.82139738151563,6.4862598360303725,92.98235551358205,3.1362242436751053,7.4391009200846465,-80.0,12.14308405169033,-4.294673288792157,75.875,-0.1308907268055377,-5.627423227539272
-79,-2761.0,18.348757412855452,-12.003428816885487,4.533990024563248,92.12434850847849,2.8028001547506793,7.126338952093101,-79.0,11.662140940445438,-5.956946620611781,74.80555555555556,1.703382423762754,-5.657218991028201
-78,-2764.0,18.187051302197684,-11.96136339517485,4.525028241120727,90.9323764735404,2.7360189803930344,7.198786261805059,-78.0,11.709050857936973,-6.031329801049818,73.80555555555556,1.8625408120546567,-5.558392599149227
-77,-2766.8333333333335,18.012742036471042,-11.929332433805174,4.474926890296964,89.69541455503156,2.6666513726333863,7.1284602121901495,-77.0,11.608209065074618,-6.106466434273,72.61111111111113,2.0671198569919884,-5.594642555815949
-76,-2769.1666666666665,17.851900094564286,-11.940464100971425,4.39562100054511,88.58797018326668,2.601128052423821,6.925651115962108,-76.0,11.3468057469869,-6.159675708760407,71.72222222222223,2.2918220377779965,-5.797124096631033
-75,-2771.1666666666665,17.721956891491512,-11.934839983688525,4.407573473704001,87.55969693615197,2.53364364182419,6.699627355675529,-75.0,11.086792433623579,-6.099144188871829,71.0,2.411085324312666,-6.027575370151098
-74,-2773.1666666666665,17.606802406777785,-11.918742550077146,4.440968971164952,86.4790236441084,2.5002624953556887,6.4434158965396735,-74.0,10.796477614222765,-6.036490775264897,70.0,2.553050180690945,-6.2773435879425366
-73,-2775.3333333333335,17.461726948425742,-11.902982964850878,4.42976592287681,85.28742347549026,2.4857373425198737,6.122827500370107,-73.0,10.434031896626772,-6.010027303263365,68.8888888888889,2.7735796994819637,-6.576270216655679
-72,-2777.6666666666665,17.29281536686106,-11.89361104782632,4.411684085968534,83.98313293928646,2.4839432299820436,5.801571321461975,-72.0,10.056603801225888,-5.998274127525394,67.72222222222223,3.0346612658371743,-6.875997557998601
-71,-2779.6666666666665,17.14247758630755,-11.879780328463035,4.434358552625369,82.8587550842271,2.4817762412883666,5.624973897527492,-71.0,9.832757972832702,-5.979805990702624,66.83333333333333,3.2205537989520807,-7.041151002655854
-70,-2781.5,17.01160454954984,-11.853684795995036,4.489074763074439,81.79527841972363,2.4695716284632367,5.545628158777494,-70.0,9.717830424749815,-5.948234949798028,65.83333333333333,3.3520574144259814,-7.105949695583111
-69,-2783.3333333333335,16.889002323335657,-11.825578587479896,4.549395190790748,80.70492490925919,2.446621460317328,5.503597917539143,-69.0,9.640759928890203,-5.916360456584084,65.0,3.4745446874751464,-7.1316811404391744
-68,-2785.3333333333335,16.74900184439065,-11.782647618925706,4.60186109676731,79.47877655472986,2.436177104892377,5.42498140082087,-68.0,9.53005807801727,-5.892400953877292,63.888888888888886,3.6356948740462265,-7.174923900386651
-67,-2787.3333333333335,16.60976904413382,-11.74510751679739,4.711136442249676,78.22931753456504,2.4378772616405757,5.324214171764291,-67.0,9.387349194767316,-5.80961510781757,62.833333333333336,3.764750843647787,-7.2683487032155645
-66,-2788.8333333333335,16.505975811561527,-11.727326956939784,4.844075612163693,77.28422343662253,2.4421524264722474,5.297837131079991,-66.0,9.31239049093199,-5.72209762483168,62.0,3.8272806138943642,-7.3240387103967635
-65,-2790.5,16.417394699730345,-11.724950971347866,4.953659819100407,76.18898151216437,2.4586668498470208,5.328273297048513,-65.0,9.25120951952273,-5.703252173685011,61.0,3.9652198679192607,-7.317735227747632
-64,-2792.3333333333335,16.32676353946648,-11.748537662601782,5.016406647160445,74.96346990984108,2.4831116551373102,5.352357527426534,-64.0,9.141656557685286,-5.741894049752084,59.833333333333336,4.194508238851136,-7.315300766074141
-63,-2794.0,16.247669832583608,-11.752196405074693,5.080701038421598,73.83856187251193,2.504850551014714,5.32124483420236,-63.0,9.010650457800864,-5.740097646990164,58.833333333333336,4.390069546033348,-7.349493214985631
-62,-2795.5,16.177780337572454,-11.742709388298012,5.194724962870822,72.83505606682773,2.5445271064907007,5.233702008935278,-62.0,8.844107799641991,-5.664273614105757,58.0,4.530113344184408,-7.456808582318992
-61,-2797.1666666666665,16.092009390297594,-11.735705844780943,5.338302547484922,71.73868555688564,2.6077161058017437,5.102344980608904,-61.0,8.619332685120597,-5.554247799696085,56.833333333333336,4.689845509311163,-7.6276529664050114
-60,-2799.0,16.003675384986735,-11.731167006601765,5.459382033988951,70.5384777835809,2.6636970723773064,4.882287584373073,-60.0,8.314281253535299,-5.408334657539957,56.0,4.887266315292847,-7.874627140636085
-59,-2800.6666666666665,15.924842370698238,-11.734468885874735,5.5692290738710755,69.4405550575291,2.702378920429167,4.704496504216789,-59.0,8.054343466620544,-5.271774542787161,55.0,5.06299304613523,-8.081605687524283
-58,-2802.1666666666665,15.85760893788479,-11.72812233159842,5.6687453446108895,68.44616315861627,2.7218425723564064,4.546966745229219,-58.0,7.842593821963707,-5.12859413898565,54.0,5.201716223672034,-8.25405075232024
-57,-2803.6666666666665,15.783894192805162,-11.72481139404598,5.7858323280349735,67.44836052603148,2.7403444376229302,4.419842124521032,-57.0,7.655362406042823,-4.979003983491416,53.0,5.32741683478396,-8.408498060050208
