from_max_extension,OKC_extension_only_Diff_z,OKC_flexion_only_Diff_z,OKC_extension_only_Diff_z_2,OKC_flexion_only_Diff_z_2,OKC_extension_only_Diff_z_3,OKC_flexion_only_Diff_z_3,OKC_extension_only_Diff_z_avg,OKC_flexion_only_Diff_z_avg,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_extension_only_Diff_z,CKC_flexion_only_Diff_z,CKC_extension_only_Diff_z_2,CKC_flexion_only_Diff_z_2,CKC_extension_only_Diff_z_3,CKC_flexion_only_Diff_z_3,CKC_extension_only_Diff_z_avg,CKC_flexion_only_Diff_z_avg,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.04790493098243065,-0.11416416236543014,-0.1280687464209116,-0.22034045956213788,-0.6562529871716771,0.10048423064140755,0.04790493098243065,-0.11416416236543014,-0.007770773466101666,-0.15156399796820885,-0.16996353535486186,-0.2594694421182222,-0.7094857709808045,0.07051113773809181,-0.007770773466101666,-0.15156399796820885,0.2609205095873759,0.08677266631296998,-0.008501492237148467,0.6519956708756401,0.46192212273530275,0.46301600730480086,0.2609205095873759,0.08677266631296998,0.1423778042368231,-0.04610234710442507,-0.1943726209174915,0.4747905651439913,0.24216661688508667,0.2703632394304596,0.1423778042368231,-0.04610234710442507
2,0.7157247000753753,-0.40198402823447044,0.05747458647971282,-0.19755440313202222,-0.4308704809751829,0.1675695010501319,0.8223208669381075,0.23936452237370087,0.5092806691968486,-0.4905632758231704,-0.11097886372089327,-0.3496550980282924,-0.5909213171611096,-0.007722371173763953,0.6467075263801849,0.1234763751949659,1.0553606179972532,0.2310549850679795,0.2937081584025393,0.6217149011068153,1.242162032505692,0.6477045079447259,1.9093273281832204,0.7245925679622518,0.7735942589330072,-0.05487049863544691,-0.07419414575447489,0.3043415265500491,0.8657930555818552,0.27163507116229635,1.6197090240292686,0.4287256502587562
3,1.0867555230060573,-0.15553541887745048,0.09162952340120967,-0.3323619966976503,0.12353744214671636,0.28270869444727076,0.927434385272119,0.7496777528718219,0.7592308694212546,-0.3872956536331449,-0.16598108687353452,-0.5824938771768027,-0.1544152578851321,-0.035908151565803514,0.6755736220462962,0.5283792207112494,1.5809709538132353,0.6283340150783518,0.8959951397888715,1.326537283157778,2.3050645886496075,0.9684632783653544,2.1678817499726373,1.2492299184052582,1.0937401265509161,0.17107721171047086,0.3488768724181558,0.8138109960957044,1.739961230472473,0.4092879682703816,1.6825956473794776,0.7790947880037109
4,1.1066988162156388,-0.26462814463760154,0.03803116128437356,-0.26002306253714913,0.5251343149120231,0.5762808350929052,0.7771789315849631,0.7544036066422795,0.6585730397219542,-0.5838162666111781,-0.29998619267264104,-0.5785024356502193,0.13058003877022362,0.11651883273273178,0.4251873123642511,0.45631417699457977,2.0620465141393693,0.9179796391855484,1.3970584320135682,1.8356781472925543,3.3115687088518535,1.3363907959759485,1.6015525557744712,0.8429042605350692,1.3881242260005315,0.297581893970539,0.7122504341012582,1.1635377411931764,2.591213368822379,0.585975030192412,0.9519023248456853,0.2165596362660871
5,1.498651464231643,-0.13255957132766127,0.5254327141571267,0.03798219026984562,0.9209747383304236,0.7214904578553534,0.9943422952962937,0.7758523566932922,0.904023260269117,-0.559539004972863,0.09166185499364232,-0.3724368549612551,0.41480185346272247,0.16089785677165214,0.5281914627689908,0.36071583485389525,2.7070631487966503,1.0409886014071401,1.9958738594554462,2.5787650076453037,4.190974231650728,1.9277584512206651,2.1712944687007765,1.2731867110608546,1.8546485787408866,0.25235493482650506,1.11605654089767,1.7511317172005745,3.3222295830950794,0.9937687513147426,1.329156320778376,0.46142821954344737
6,2.04374213236996,0.18154816176662525,1.0029071504532405,0.40695474453752656,1.2874669085192183,0.9696884065305498,1.3429757050107538,0.943047643577267,1.293944534351989,-0.36546979704127214,0.4651908560735274,-0.13190696921326772,0.6888204246113814,0.3110371047967315,0.7589988719555718,0.4173407912092735,3.4444971611641,1.2758431643654833,1.8772427601438981,3.9871335734258784,4.599316352125476,2.5306081744063826,2.844206873488288,1.5827480203052027,2.4020519089678123,0.3157636685446903,0.8167147195342178,3.001621773578976,3.590080156102222,1.4112214428901906,1.8406240976473083,0.5995639897259455
7,2.3648464353973218,0.5655072682973064,1.2583167064524248,0.8012486267917716,1.7290088991631927,1.14726020224975,1.7463432812325612,1.2682264769050375,1.5084058020798006,-0.08899830980196999,0.614868757943607,0.16425157973388682,1.0297001098659537,0.3712088960907818,1.0560337426387214,0.6289954752848743,3.7687960833306877,1.8975874266809871,1.8535561065473887,5.187895928886787,5.266068303847518,3.0186729314268743,3.506212508739082,2.1446113180014965,2.541263644057149,0.7657905437717882,0.6480314746747308,4.031371353536427,4.1100985970269335,1.7424253391920892,2.3130194365727634,0.9913219058401392
8,2.6590925089527717,1.1876808321362864,1.2000321894644181,1.3370656035892163,2.269587326508966,1.2171687526126358,2.135530258989216,1.6470117238614073,1.7027161930134014,0.4257776427778186,0.45055971582501186,0.5920286170919589,1.4668117621082821,0.33313484688989536,1.340054144874049,0.8955570960737731,3.860878553368095,2.383501542786581,2.056044314031918,4.922031737951071,6.142680987602746,3.8906317398700216,3.8328643390484505,2.898681384500417,2.439051158016248,1.0939557966380082,0.7180616630026156,3.6105662737287147,4.845757910098584,2.437564880955667,2.4629187135546147,1.5764360295623567
9,2.8701557384657996,1.625117587807523,1.1100861915996059,1.7656968538753848,2.8888404139688877,1.1121896660225508,2.413185244222885,2.0069879193949665,1.8049836562522819,0.7677323024702014,0.2599764087530554,0.9097997158071545,1.9739055515438575,0.12351388574947553,1.515375456959923,1.1583079149619788,4.1948729812256875,2.7236608098329507,2.4628761691279655,5.421177148327905,7.187773584033666,4.79014780052174,4.229435438068436,3.609444477084416,2.5852532967359476,1.2719870128021318,0.9567368255749803,3.9473442480864094,5.7482385486875,3.165190082009313,2.6990970829322523,2.1149608686436583
