Degrees_x,timestamp,Sensor1_x,Sensor1_y,Sensor1_z,Sensor2_x,Sensor2_y,Sensor2_z,Diff_x,Diff_y,Diff_z,Diff_inv_x,Diff_inv_y,Diff_inv_z,minus_Sensor1_x_plus_Sensor2_x,minus_Sensor1_y_plus_Sensor2_y,minus_Sensor1_z_plus_Sensor2_z,minus_Sensor2_x_plus_Sensor1_x,minus_Sensor2_y_plus_Sensor1_y,minus_Sensor2_z_plus_Sensor1_z,timestamp_2,Sensor1_x_2,Sensor1_y_2,Sensor1_z_2,Sensor2_x_2,Sensor2_y_2,Sensor2_z_2,Diff_x_2,Diff_y_2,Diff_z_2,Diff_inv_x_2,Diff_inv_y_2,Diff_inv_z_2,minus_Sensor1_x_plus_Sensor2_x_2,minus_Sensor1_y_plus_Sensor2_y_2,minus_Sensor1_z_plus_Sensor2_z_2,minus_Sensor2_x_plus_Sensor1_x_2,minus_Sensor2_y_plus_Sensor1_y_2,minus_Sensor2_z_plus_Sensor1_z_2,timestamp_3,Sensor1_x_3,Sensor1_y_3,Sensor1_z_3,Sensor2_x_3,Sensor2_y_3,Sensor2_z_3,Diff_x_3,Diff_y_3,Diff_z_3,Diff_inv_x_3,Diff_inv_y_3,Diff_inv_z_3,minus_Sensor1_x_plus_Sensor2_x_3,minus_Sensor1_y_plus_Sensor2_y_3,minus_Sensor1_z_plus_Sensor2_z_3,minus_Sensor2_x_plus_Sensor1_x_3,minus_Sensor2_y_plus_Sensor1_y_3,minus_Sensor2_z_plus_Sensor1_z_3,timestamp_avg,Sensor1_x_avg,Sensor1_y_avg,Sensor1_z_avg,Sensor2_x_avg,Sensor2_y_avg,Sensor2_z_avg,Diff_x_avg,Diff_y_avg,Diff_z_avg,Diff_inv_x_avg,Diff_inv_y_avg,Diff_inv_z_avg,minus_Sensor2_x_plus_Sensor1_x_avg,minus_Sensor2_y_plus_Sensor1_y_avg,minus_Sensor2_z_plus_Sensor1_z_avg
103,,,,,,,,,,,,,,,,,,,,1950.5,0.3652770534632014,7.858195087814691,16.49171440776564,-94.15587804446227,3.686962919656963,10.597534982427534,103.0,4.714273288306814,10.48384576735759,-94.00649350649351,-12.18207416257555,19.60416354099858,-94.52115509792547,-4.171232168157729,-5.8941794253381055,100.2286541550201,-11.284478950665704,2.9150804326003765,2542.5,0.45164717989422104,7.834701748249934,14.129300661776798,-94.11984951327777,3.5344721513335675,11.608596142746455,103.0,5.690778305187074,8.368593894991958,-94.00806451612904,-9.969891252635062,20.44070066407918,-94.571496693172,-4.300229596916366,-2.520704519030343,100.2789957502666,-11.155481521907065,-0.45839447370738595,2246.5,0.40846211667871124,7.846448418032312,15.310507534771219,-94.13786377887001,3.610717535495265,11.103065562586995,103.0,5.202525796746944,9.426219831174773,-94.00727901131128,-11.075982707605306,20.02243210253888,100.25382495264336,-11.219980236286386,1.2283429794464953
102,,,,,,,,,,,,,,,,,,,,2030.0,1.5700794772128988,8.20462895386555,12.62299025727021,-92.12622881574607,3.390873241285847,10.209045377577057,102.0,4.612343280749208,6.726721960836043,-93.2,-8.719870241390506,19.1175231173049,-93.69630829295897,-4.813755712579703,-2.4139448796931537,99.4038073500536,-10.641955406243728,-0.5651541130445754,2607.0,1.625899228726374,8.13671133586522,12.15818681528845,-92.10989394250626,3.7978605906722946,11.336903585462728,102.0,5.695761627861084,5.919390373255764,-93.2,-7.851456344889255,20.15081940557581,-93.73579317123263,-4.338850745192927,-0.8212832298257233,99.44329222832725,-11.116860373630505,-2.157815762912006,2318.5,1.5979893529696363,8.170670144865385,12.390588536279331,-92.11806137912617,3.5943669159790708,10.772974481519892,102.0,5.1540524543051465,6.323056167045904,-93.2,-8.28566329313988,19.634171261440354,99.42354978919042,-10.879407889937116,-1.3614849379782905
101,1475.0,1.6636275145586914,6.758506674164436,13.961053109914063,-90.94966609897423,5.825496971326485,8.737633968120775,101.0,1.7329862480674958,5.326192234582017,-92.0,-7.860985262890932,15.992116950514857,-92.61329361353293,-0.9330097028379507,-5.223419141793288,98.32079267062755,-14.52270141598548,2.244320149055559,2034.0,1.8420227158625355,8.098215464028792,12.405165956328071,-90.96351358129994,3.695900364554062,10.752778857367387,101.0,5.017379816851887,6.049978793057531,-92.33333333333333,-8.341241833829018,19.3514781717504,-92.80553629716248,-4.402315099474731,-1.6523870989606866,98.51303535425711,-11.053396019348702,-1.3267118937770424,2611.0,1.9748355475451582,8.109667951142612,12.09705235094463,-90.8549708678592,4.095905772494066,11.237149755283518,101.0,5.530419713635003,5.352724066702497,-92.33333333333333,-7.633828823994857,19.831502336800316,-92.82980641540435,-4.013762178648546,-0.8599025956611115,98.53730547249897,-11.441948940174887,-2.1191963970766174,2040.0,1.8268285926554617,7.655463363111946,12.821090472395587,-90.92271684937778,4.539101036124872,10.242520860257228,101.0,4.093595259518128,5.576298364780681,-92.22222222222221,-7.945351973571603,18.391699153021857,98.45704449912789,-12.339348791836358,-0.4005293805993669
100,1476.5,1.8622075450427449,6.812228744641139,13.932639253905439,-90.10683846735736,5.897555929931955,9.109415907085296,100.0,2.0970132130210954,5.127551920778438,-91.0,-7.839969047692602,16.260976902002582,-91.96904601240011,-0.9146728147091845,-4.823223346820142,97.67654506949474,-14.541038304114249,1.844124354082413,2037.0,2.0807399514836877,8.030526276454621,12.365931867843537,-89.84553412853991,3.988536362528547,11.030640516033055,100.0,5.183496198481762,5.54087069034355,-91.33333333333333,-8.143835914326523,19.37044325693814,-91.92627408002362,-4.041989913926074,-1.335291351810482,97.63377313711824,-11.413721204897357,-1.6438076409272468,2614.0,2.273511614641827,8.065836966283877,12.045307765962187,-89.65667337758451,4.358869119316734,11.213728839773992,100.0,5.410917624363801,4.840275111432048,-91.33333333333333,-7.455523665867905,19.574327347052243,-91.93018499222633,-3.7069678469671437,-0.8315789261881962,97.63768404932095,-11.74874327185629,-2.1475200665495326,2042.5,2.0721530370560863,7.636197329126546,12.781292962570388,-89.86968199116059,4.748320470592412,10.451261754297448,100.0,4.230475678622219,5.169565907518012,-91.22222222222221,-7.81310954262901,18.401915835330993,97.64933408531131,-12.567834260289297,-0.6490677844647889
99,1478.5,2.122380487318362,6.886904275750187,13.914073103817357,-88.89751646063894,5.995559867429713,9.57624759484748,99.0,2.543183227906205,4.851723410366029,-90.5,-7.839408882580759,16.57171612624166,-91.01989694795729,-0.8913444083204736,-4.337825508969876,96.72739600505192,-14.564366710502958,1.3587265162321467,2040.0,2.341344955831488,7.968924014689624,12.325421422955502,-88.55764965570347,4.323984982834119,11.152444219325206,99.0,5.177175036134912,4.945704832329009,-90.33333333333333,-7.918231703932226,19.206525780903707,-90.89899461153497,-3.6449390318555053,-1.1729772036302968,96.60649366862958,-11.810772086967924,-1.8061217891074322,2616.5,2.5418222947750535,8.016075437413313,11.956698343396797,-88.50777913140882,4.606350956893483,11.267906094208866,99.0,5.353386497138727,4.314097109891019,-90.5,-7.248692781201283,19.392576616376566,-91.04960142618388,-3.409724480519831,-0.6887922491879301,96.7571004832785,-12.045986638303601,-2.290306743549799,2045.0,2.335182579308301,7.623967909284374,12.73206429005655,-88.65431508258375,4.975298602385771,10.665532636127184,99.0,4.357914920393282,4.703841784195352,-90.44444444444444,-7.6687777892380895,18.390272841173978,96.69699671898667,-12.807041811924828,-0.9125673388083614
98,1480.5,2.366067448071478,6.962742973839486,13.875736111657485,-87.57894924729766,6.098945359527921,9.95029508752399,98.0,2.8780304297667723,4.51421678020163,-89.0,-7.827185026465902,16.759321680894974,-89.94501669536913,-0.8637976143115655,-3.9254410241334927,95.65251575246376,-14.591913504511867,0.9463420313957638,2042.5,2.5557999303215304,7.931074420256111,12.312646686812819,-87.36007480996611,4.614758444061363,11.159983283731751,98.0,5.068886757707478,4.431775850268889,-89.0,-7.752650563794514,18.961086818044866,-89.91587474028763,-3.3163159761947485,-1.1526634030810659,95.62337379738226,-12.139395142628683,-1.826435589656663,2619.0,2.792202356866843,7.974652553370663,11.881877534753725,-87.21529755705386,4.828446961691017,11.419456598236977,98.0,5.3764644568361435,3.792654463753264,-89.33333333333333,-7.0980547764981745,19.28437797411961,-90.0074999139207,-3.1462055916796445,-0.46242093651674904,95.71499897101533,-12.309505527143786,-2.51667805622098,2047.3333333333333,2.5713565784199504,7.622823315822086,12.690086777741342,-87.38477387143921,5.180716921760101,10.843244989830907,98.0,4.441127214770131,4.246215698074594,-89.1111111111111,-7.5592967889195295,18.334928824353153,95.66362950695378,-13.013604724761445,-1.1322572048272932
97,1482.0,2.541452892857786,7.029206926285139,13.831743259280874,-86.51817156801475,6.174253218309694,10.160002398528874,97.0,3.0542202631504907,4.227443072228855,-88.0,-7.813134176580564,16.8192062824907,-89.05962446087254,-0.8549537079754446,-3.6717408607519992,94.76712351796716,-14.600757410847987,0.6926418680142703,2044.5,2.732028469281628,7.920001456818795,12.311740042798121,-86.31844243569114,4.820967674576844,11.126364540051506,97.0,4.945195530829917,4.0433792008625735,-88.5,-7.662744762119015,18.72596218293924,-89.05047090497277,-3.099033782241951,-1.1853755027466155,94.75796996206739,-12.35667733658148,-1.7937234899911134,2621.0,2.9919237854568346,7.945517072117574,11.81303841101374,-86.08991710173814,4.981082011778051,11.620320498659263,97.0,5.462847776354838,3.368661166253841,-88.0,-7.0021980318774135,19.26318438301685,-89.08184088719497,-2.9644350603395226,-0.19271791235447644,94.7893399442896,-12.491276058483908,-2.7863810803832525,2049.1666666666665,2.755135049198749,7.631575151740503,12.652173904364245,-86.30884370181468,5.325434301554863,10.968895812413214,97.0,4.487421190111749,3.87982781311509,-88.16666666666667,-7.492692323525664,18.269450949482263,94.77147780810806,-13.149570268637794,-1.2958209007866985
96,1483.5,2.719346209546509,7.121542030959341,13.804920465048179,-85.3875174589734,6.239656069275808,10.317627196606136,96.0,3.191030487959356,3.951609113297594,-87.5,-7.8334081361445005,16.83490934523043,-88.10686366851992,-0.881885961683532,-3.487293268442044,93.81436272561454,-14.5738251571399,0.508194275704315,2046.5,2.9122221260088725,7.929733079011699,12.311218821652723,-85.22237772381587,4.988472517465251,11.153318698275653,96.0,4.890616251134206,3.6847275762850216,-87.5,-7.6156669745877945,18.55991817734428,-88.13459984982474,-2.9412605615464478,-1.157900123377071,93.84209890691936,-12.514450557276984,-1.821198869360658,2622.5,3.1459744823630356,7.928557515699566,11.728630111193901,-85.17913606721925,5.073951495775534,11.806283784661641,96.0,5.556351600791489,3.021305257167734,-87.5,-6.924195966596152,19.27635986102463,-88.32511054958228,-2.854606019924032,0.07765367346774088,94.0326096066769,-12.6011050988994,-3.05675266620547,2050.8333333333335,2.9258476059728054,7.659944208556869,12.614923132631601,-85.2630104166695,5.434026694172197,11.092409893181141,96.0,4.54599944662835,3.5525473155834497,-87.5,-7.457757025776149,18.223729127866445,93.89635707973694,-13.229793604438761,-1.456585753287271
95,1485.0,2.887634509500145,7.2218552571521615,13.786373861142492,-84.21299218188932,6.289080553928397,10.410044604330336,95.0,3.260423643863824,3.69165091204751,-86.0,-7.883456402983041,16.778875219885297,-87.10062669138946,-0.9327747032237648,-3.3763292568121557,92.80812574848409,-14.522936415599666,0.39723026407442674,2048.5,3.096426831290711,7.944441855753592,12.29367341668189,-84.06736075403228,5.12197513356907,11.246535021807297,95.0,4.895179099887789,3.3297920496024633,-86.5,-7.589461347981172,18.452743453548628,-87.16378758532299,-2.822466722184521,-1.0471383948745938,92.87128664241762,-12.633244396638911,-1.9319605978631351,2624.5,3.3425429612341677,7.921495444987995,11.617850868467883,-83.89365169750899,5.178994493238525,12.038363863569899,95.0,5.666351993085314,2.5567739103121325,-86.5,-6.84784829754317,19.27832327394877,-87.23619465874316,-2.7425009517494705,0.42051299510201634,92.94369371583778,-12.713210167073962,-3.3996119878397453,2052.6666666666665,3.1088681006750076,7.69593085263125,12.56596604876409,-84.05800154447685,5.530016726911998,11.231647829902512,95.0,4.607318245612309,3.1927389573207017,-86.33333333333333,-7.440255349502461,18.169980649127567,92.87436870224649,-13.289796993104181,-1.6447807738761513
94,1486.0,2.9903506220605074,7.290536726609433,13.768194460860927,-83.40750361005739,6.3228104300479435,10.425185678201254,94.0,3.2550411579624488,3.5090408555866976,-86.0,-7.913343518520847,16.688460275202285,-86.3978542321179,-0.9677262965614899,-3.3430087826596733,92.10535328921252,-14.487984822261943,0.36390978992194434,2050.5,3.2715806616703946,7.9694837283460345,12.246079646762043,-82.84997516132043,5.236359442432041,11.381326261389894,94.0,4.937203124616225,2.945160984182959,-85.5,-7.558592981966735,18.382673929484113,-86.12155582299083,-2.733124285913992,-0.8647533853721487,91.82905488008545,-12.722586832909439,-2.11434560736558,2626.0,3.490177278257811,7.925084579698117,11.54221852986955,-82.87600059916306,5.255461198510345,12.144701991850884,94.0,5.67897835577212,2.207666847552033,-86.0,-6.804795401408278,19.21015986451872,-86.36617787742088,-2.6696233811877716,0.6024834619813344,92.0736769345155,-12.786087737635661,-3.5815824547190633,2054.1666666666665,3.2507028539962377,7.728368344884529,12.518830879164172,-83.04449312351362,5.604877023663444,11.317071310480676,94.0,4.623740879450264,2.887289562440563,-85.83333333333333,-7.425577300631953,18.09376468973504,92.00269503460449,-13.332219797602349,-1.777339424054233
