Degrees_x,timestamp,Sensor1_x,Sensor1_y,Sensor1_z,Sensor2_x,Sensor2_y,Sensor2_z,Diff_x,Diff_y,Diff_z,Diff_inv_x,Diff_inv_y,Diff_inv_z,minus_Sensor1_x_plus_Sensor2_x,minus_Sensor1_y_plus_Sensor2_y,minus_Sensor1_z_plus_Sensor2_z,minus_Sensor2_x_plus_Sensor1_x,minus_Sensor2_y_plus_Sensor1_y,minus_Sensor2_z_plus_Sensor1_z,timestamp_2,Sensor1_x_2,Sensor1_y_2,Sensor1_z_2,Sensor2_x_2,Sensor2_y_2,Sensor2_z_2,Diff_x_2,Diff_y_2,Diff_z_2,Diff_inv_x_2,Diff_inv_y_2,Diff_inv_z_2,minus_Sensor1_x_plus_Sensor2_x_2,minus_Sensor1_y_plus_Sensor2_y_2,minus_Sensor1_z_plus_Sensor2_z_2,minus_Sensor2_x_plus_Sensor1_x_2,minus_Sensor2_y_plus_Sensor1_y_2,minus_Sensor2_z_plus_Sensor1_z_2,timestamp_3,Sensor1_x_3,Sensor1_y_3,Sensor1_z_3,Sensor2_x_3,Sensor2_y_3,Sensor2_z_3,Diff_x_3,Diff_y_3,Diff_z_3,Diff_inv_x_3,Diff_inv_y_3,Diff_inv_z_3,minus_Sensor1_x_plus_Sensor2_x_3,minus_Sensor1_y_plus_Sensor2_y_3,minus_Sensor1_z_plus_Sensor2_z_3,minus_Sensor2_x_plus_Sensor1_x_3,minus_Sensor2_y_plus_Sensor1_y_3,minus_Sensor2_z_plus_Sensor1_z_3,timestamp_avg,Sensor1_x_avg,Sensor1_y_avg,Sensor1_z_avg,Sensor2_x_avg,Sensor2_y_avg,Sensor2_z_avg,Diff_x_avg,Diff_y_avg,Diff_z_avg,Diff_inv_x_avg,Diff_inv_y_avg,Diff_inv_z_avg,minus_Sensor2_x_plus_Sensor1_x_avg,minus_Sensor2_y_plus_Sensor1_y_avg,minus_Sensor2_z_plus_Sensor1_z_avg
56,2120.5,-43.24823806583777,11.287540143039445,11.891463343271326,-95.33589996739576,2.2490455912042098,2.179627990693709,56.0,-3.19241208134276,3.243250774645574,-51.0,-14.026779785441462,3.626103580192357,-52.08766190155799,-9.038494551835235,-9.711835352577618,57.841393559666834,-5.4046750439677975,4.646471920868677,2669.0,-48.14657377645541,12.379008534654055,13.207673163570735,-100.24654667021267,2.5272544199199984,2.9934898368546174,56.0,-1.6394119588554226,3.8028575718682642,-51.0,-15.442204823714777,4.44012346521695,-52.099972893757254,-9.851754114734057,-10.214183326716118,57.85370455186609,-4.591415481068976,5.148819895007177,3169.0,-49.55873030564436,10.75067387718704,13.36027319646336,-101.70234651243507,1.3004582606842536,4.324609002825547,56.0,-1.45698249775611,4.11080086536349,-51.0,-15.786348051874233,4.4131727342156655,-52.14361620679071,-9.450215616502787,-9.035664193637814,57.897347864899544,-4.992953979300246,3.9703007619288737,2652.8333333333335,-46.98451404931251,11.472407518293513,12.819803234435142,-99.0949310500145,2.0255860906028205,3.1659089434579575,56.0,-2.0962688459847643,3.718969737292443,-51.0,-15.085110887010158,4.159799926541657,57.86414865881083,-4.99634816811234,4.588530859268243
55,2122.5,-44.37326155829345,11.191133286828075,12.247058470946797,-95.44535392946337,2.1442051372131865,2.6733289371772746,55.0,-2.8965599686367476,3.3563979689499712,-50.0,-14.366370932092305,3.516478402618451,-51.072092371169916,-9.046928149614889,-9.573729533769523,56.825824029278756,-5.396241446188145,4.508366102060582,2670.5,-49.00474373097971,12.33776971067444,13.290122795191799,-100.19890827172543,2.473955196158275,3.102585527993268,55.0,-1.6234437907398043,3.8447529582920232,-50.0,-15.55283279558388,4.172393811784411,-51.1941645407457,-9.863814514516164,-10.187537267198529,56.947896198854544,-4.579355081286869,5.12217383548959,3170.5,-50.56182975234378,10.675115240775128,13.345769789226917,-101.62758619238534,1.234973380772216,4.365764695136369,55.0,-1.5292696589295929,4.0731436648140695,-49.5,-15.791419292931367,4.076721017662278,-51.065756440041554,-9.44014186000291,-8.980005094090547,56.81948809815039,-5.003027735800122,3.914641662381607,2654.5,-47.97994501387232,11.401339412759214,12.960983685121837,-99.09061613119138,1.9510445713812257,3.3805597201023034,55.0,-2.016424472768715,3.7580981973520213,-49.833333333333336,-15.236874340202517,3.92186441068838,56.86440277542789,-4.992874754425046,4.515060533310593
54,2124.5,-45.5442218748946,11.092826185309498,12.512140339593163,-95.5489872536631,2.026734671493055,3.1580797791033666,54.0,-2.613030746454891,3.3783497032765997,-49.0,-14.633043436997282,3.4334016957164013,-50.0047653787685,-9.066091513816444,-9.354060560489796,55.75849703687733,-5.377078081986589,4.288697128780855,2672.0,-49.88283662903049,12.299431289966146,13.33988080127803,-100.14439523031038,2.416807275510967,3.2052488073285166,54.0,-1.609798432418886,3.8582735134067345,-49.0,-15.63831366038567,3.9125135697500557,-50.26155860127989,-9.882624014455178,-10.134631993949514,56.01529025938872,-4.560545581347855,5.069268562240573,3172.0,-51.59297609129558,10.597547579759928,13.294896307175659,-101.54153813787697,1.1644362370467152,4.415159077560366,54.0,-1.596621080519041,3.9944071277482394,-49.0,-15.765365660346054,3.7619292262339545,-49.94856204658139,-9.433111342713213,-8.879737229615293,55.70229370469022,-5.01005825308982,3.8143737979063523,2656.1666666666665,-49.006678198406895,11.32993501834519,13.048972482682283,-99.07830687395015,1.8693260613502456,3.59282922133075,54.0,-1.9398167531309394,3.743676781477191,-49.0,-15.345574252576336,3.702614830566804,55.82536033365209,-4.982560638808088,4.390779829642594
53,2126.5,-46.72134838336622,11.021109119423663,12.683145950161506,-95.65255577628125,1.9017726584545485,3.506393518496473,53.0,-2.4090709121677207,3.38842482975409,-47.5,-14.839654373941986,3.2910272082596075,-48.931207392915034,-9.119336460969112,-9.176752431665033,54.684939051023875,-5.32383313483392,4.111388999956094,2673.5,-50.784263176737895,12.25710004568268,13.351903186642357,-100.08317650744394,2.355490894452518,3.2943176976959228,53.0,-1.61072420527971,3.842996372599014,-48.0,-15.689847859140993,3.6517310568444357,-49.29891333070605,-9.901609151230161,-10.057585488946433,55.05264498881488,-4.5415604445728714,4.992222057237494,3173.0,-52.29727505347839,10.547103078786055,13.236739387888012,-101.47787121880262,1.1050339774650724,4.468541974344964,53.0,-1.618382146503773,3.91103812954451,-48.0,-15.738385893333438,3.5855222040503163,-49.18059616532423,-9.442069101320982,-8.768197413543048,54.934327823433065,-5.001100494482051,3.7028339818341074,2657.6666666666665,-49.934295537860834,11.275104081297465,13.090596174897291,-99.07120116750927,1.787432510124046,3.7564177301791197,53.0,-1.8793924213170679,3.714153110632538,-47.833333333333336,-15.42262937547214,3.5094268230514536,54.89063728775727,-4.955498024629614,4.268815013009232
52,2128.5,-47.91722777134211,10.939348480812146,12.740422457544481,-95.76093647937736,1.750964526663095,3.659885246538513,52.0,-2.347024156865656,3.4276258219894817,-46.5,-14.970043555144475,3.019624535223092,-47.843708708035265,-9.188383954149051,-9.080537211005968,53.5974403661441,-5.2547856416539815,4.015173779297028,2675.0,-51.69975333394613,12.203838276926968,13.32869484783997,-100.01258879985392,2.294421885734542,3.382568252734026,52.0,-1.6255662402982765,3.7903840073433663,-47.0,-15.702329917882855,3.399801558355744,-48.31283546590779,-9.909416391192426,-9.946126595105943,54.06656712401663,-4.533753204610607,4.880763163397003,3174.0,-53.01285497152803,10.498607795814191,13.153100684542178,-101.40916848495084,1.0375619760840507,4.5379302840900175,52.0,-1.6222689197321714,3.7949330649794604,-47.0,-15.698763178342134,3.4418998503858407,-48.39631351342281,-9.46104581973014,-8.615170400452161,54.150045171531644,-4.982123776072893,3.549806968743221,2659.1666666666665,-50.876612025605425,11.213931517851103,13.074072663308877,-99.06089792139403,1.694316129493896,3.8601279277875187,52.0,-1.8649531056320345,3.6709809647707696,-46.833333333333336,-15.457045550456487,3.287108647988225,53.93801755389745,-4.923554207445827,4.148581303812417
51,2130.0,-48.84115016449092,10.839887037888268,12.720649555573601,-95.84096917591015,1.6348143066516936,3.662633162924194,51.0,-2.419939018613441,3.471267397118403,-46.0,-14.993276050688817,2.7129991642898506,-46.99981901141923,-9.205072731236575,-9.058016392649407,52.75355066952807,-5.238096864566458,3.9926529609404664,2676.5,-52.628508381603126,12.12619344419509,13.245536242170719,-99.92783744273831,2.2364532774256336,3.465557307695189,51.0,-1.6734702395409133,3.6763463599029595,-46.0,-15.645123356824696,3.1615988116764173,-47.29932906113517,-9.889740166769457,-9.77997893447553,53.05306071924401,-4.553429429033576,4.7146155027665895,3175.5,-54.09391856582786,10.431099510909377,13.000469184238316,-101.29556971591035,0.9318268563919165,4.645816890462419,51.0,-1.619090820668494,3.5893235525064675,-45.5,-15.6223767953242,3.25396539174768,-47.2016511500825,-9.499272654517458,-8.354652293775896,52.95538280819133,-4.9438969412855736,3.2892888620669556,2660.6666666666665,-51.85452570397397,11.132393330997578,12.988884993994212,-99.02145877818627,1.6010314801564147,3.9246691203606012,51.0,-1.9041666929409493,3.5789791031759433,-45.833333333333336,-15.420258734279237,3.0428544559046493,52.920664732321136,-4.91180774496187,3.9988524419246705
50,2131.5,-49.79108510406609,10.738556387195832,12.653913798477237,-95.90874094200541,1.5314240248037985,3.606298484987202,50.0,-2.5458538175535788,3.4982261678852895,-44.5,-14.962597601711508,2.3721363504382564,-46.117655837939324,-9.207132362392034,-9.047615313490034,51.871387496048165,-5.2360372334109995,3.9822518817810932,2678.0,-53.56554874294653,12.034083906767961,13.123879708042624,-99.83776867981013,2.1793328183826692,3.5540751470707015,50.0,-1.7341579196851704,3.51712580267702,-45.0,-15.544802152489906,2.946242817920482,-46.27221993686359,-9.854751088385292,-9.569804560971923,52.025951594972426,-4.588418507417741,4.5044411292629825,3177.0,-55.169068927681835,10.380358428739427,12.822828787859178,-101.16976185772646,0.8266685157496937,4.738059790345231,50.0,-1.6121420823826274,3.364776652949967,-45.0,-15.534884276497882,3.0853646447610794,-46.00069293004462,-9.553689912989734,-8.084768997513947,51.754424588153455,-4.889479682813299,3.019405565805007,2662.1666666666665,-52.84190092489816,11.050999574234405,12.866874098126347,-98.97209049318066,1.5124751196453872,3.966144474134378,50.0,-1.9640512732071256,3.4600428745040923,-44.833333333333336,-15.3474280102331,2.8012479377066057,51.88392122639135,-4.904645141214012,3.8353661922830273
49,2133.5,-51.09453426289461,10.603910742438297,12.48838466576138,-95.98557304263703,1.3735135398905267,3.534058878865542,49.0,-2.6954970449864923,3.4680030107324935,-43.5,-14.880956858372766,1.9693397414066711,-44.891038779742416,-9.23039720254777,-8.95432578689584,50.64477043785126,-5.212772393255263,3.8889623551868997,2679.5,-54.50635276769549,11.94132486593586,12.97864268300577,-99.74305205171268,2.1222520319526668,3.644918410789069,49.0,-1.7956932609511904,3.3297366917685443,-43.5,-15.42198538962354,2.754175682372538,-45.23669928401718,-9.819072833983192,-9.333724272216703,50.99043094212602,-4.62409676181984,4.2683608405077615,3178.0,-55.889924376587764,10.334550029244737,12.688574378274867,-101.07918042684341,0.752494458276232,4.783475073700565,49.0,-1.6290463926403778,3.2110890538912784,-44.0,-15.458784900263604,2.9616488644345917,-45.18925605025564,-9.582055570968505,-7.905099304574302,50.942987708364484,-4.861114024834528,2.8397358728653614,2663.6666666666665,-53.830270469059286,10.959928545872964,12.718533909014006,-98.93593517373104,1.416086676706475,3.987484121118392,49.0,-2.04007889952602,3.3362762521307716,-43.666666666666664,-15.253909049419969,2.5617214294046002,50.859396362780586,-4.899327726636543,3.6656863561866744
48,2135.0,-52.09493322978999,10.49468779484127,12.318280940289227,-96.02759272328086,1.2436052008103164,3.5508832930703247,48.0,-2.757293834332181,3.352997666130303,-43.0,-14.788862970344118,1.7624593597233196,-43.932659493490874,-9.251082594030953,-8.767397647218903,49.68639115159971,-5.19208700177208,3.702034215509963,2681.0,-55.451418671024676,11.832464371735114,12.82186457703527,-99.64343058308671,2.057891280813583,3.7243016929748207,48.0,-1.877655907874555,3.142353530902067,-43.0,-15.283062752083564,2.5511884301738923,-44.192011912062036,-9.77457309092153,-9.09756288406045,49.945743570170876,-4.668596504881503,4.0321994523515094,3179.0,-56.608217748780085,10.281680784827158,12.55089815196151,-100.9879667132181,0.6797676212886133,4.813290927543689,48.0,-1.6646785870669625,3.063122238065846,-43.0,-15.372480358657775,2.8246108253674067,-44.379748964438015,-9.601913163538544,-7.737607224417821,50.133480622546855,-4.841256432264489,2.6722437927088807,2665.0,-54.71818988319825,10.86961098380118,12.563681223095337,-98.88633000652855,1.327088034304171,4.029491971196278,48.0,-2.0998761097578993,3.1861578116994056,-43.0,-15.14813536036182,2.3794195384215393,49.921871781439144,-4.900646646306024,3.468825820190118
47,2136.5,-53.11488551740404,10.377800140479344,12.1271442342325,-96.05348682868501,1.1005080200164075,3.6392734483303975,47.0,-2.7686660410968784,3.1679194868983753,-41.5,-14.685937818706954,1.6359549966975249,-42.93860131128097,-9.277292120462935,-8.487870785902102,48.6923329693898,-5.165877475340097,3.4225073541931614,2682.5,-56.39920438777318,11.691993922435406,12.653826615061789,-99.53398726337849,1.9936277648912457,3.7746933050619145,47.0,-2.012530348263782,2.963348084434883,-41.5,-15.108357850056393,2.3110344238744016,-43.13478287560531,-9.69836615754416,-8.879133309999872,48.88851453371415,-4.744803438258872,3.813769878290933,3180.5,-57.69919654020994,10.189032843760991,12.331173620153773,-100.83869363690911,0.5705070966823331,4.826380902069152,47.0,-1.7538644870129723,2.84844739233385,-41.5,-15.220884391850657,2.5897062034426135,-43.13949709669917,-9.618525747078657,-7.504792718084622,48.89322875480801,-4.824643848724375,2.439429286375682,2666.5,-55.73776214846239,10.752942302225248,12.370714823149354,-98.8087225763242,1.221547627196662,4.0801158851538215,47.0,-2.1783536254578775,2.9932383212223694,-41.5,-15.005060020204667,2.17889854133818,48.82469208597066,-4.911774920774448,3.2252355062865923
46,2138.0,-54.143469293770714,10.240120690860358,11.934637038092127,-96.071946023465,0.9479715772102283,3.7738477194163953,46.0,-2.763636842906898,2.94791035748319,-41.0,-14.573215148124767,1.545540559139161,-41.92847672969429,-9.29214911365013,-8.160789318675732,47.68220838780313,-5.151020482152903,3.095425886966792,2684.0,-57.33497994356683,11.56602784224394,12.485104293432833,-99.41755530236172,1.9307295013575152,3.796978250208537,46.0,-2.1522995618531304,2.8027288124660696,-41.0,-14.93852981940214,2.062011513797703,-42.08257535879489,-9.635298340886425,-8.688126043224296,47.83630701690373,-4.807871254916607,3.6227626115153555,3182.0,-58.743760837098904,10.120645258776493,12.087816899547041,-100.68046562057714,0.4631737216520932,4.790538767577572,46.0,-1.8487284709997684,2.6461833219339255,-41.0,-15.068802439743681,2.360312483744481,-41.936704783478234,-9.6574715371244,-7.2972781319694695,47.69043644158707,-4.7856980586786335,2.2319147002605293,2668.0,-56.740736691478816,10.642264597293597,12.169186077024001,-98.72332231546795,1.1139582667399455,4.1204549124008345,46.0,-2.2548882919199325,2.7989408306277284,-41.0,-14.860182469090196,1.9892881855604483,47.73631728209798,-4.914863265249381,2.983367732914226
45,2139.5,-55.164508566919,10.117947430567424,11.760720049510113,-96.08728626882117,0.786835769411125,3.950560690407749,45.0,-2.709778006896239,2.7122448555476426,-39.5,-14.489550028646134,1.503227500348106,-40.92277770190216,-9.3311116611563,-7.8101593591023635,46.676509360011,-5.112057934646733,2.7447959273934233,2685.5,-58.26891322137277,11.443704145007864,12.301495140208738,-99.28682124861056,1.8626620753013907,3.805529779041645,45.0,-2.2936450064379645,2.6400195131847592,-39.5,-14.762164245124088,1.8190010413803717,-41.017908027237794,-9.581042069706474,-8.495965361167094,46.771639685346635,-4.862127526096559,3.4306019294581533,3183.0,-59.46379043435893,10.083791193062583,11.917446316630551,-100.56176182007674,0.3856822737854558,4.751931389471483,45.0,-1.9090971385411617,2.5162289458776526,-40.0,-14.972390791621086,2.2005516847459794,-41.09797138571781,-9.698108919277127,-7.165514927159068,46.851703043826646,-4.745060676525906,2.1001514954501275,2669.3333333333335,-57.6324040742169,10.54848092287929,11.993220502116467,-98.6452897791695,1.0117267061659905,4.169340619640292,45.0,-2.3041733839584553,2.622831104870018,-39.666666666666664,-14.741368355130435,1.8409267421581523,46.766617363061435,-4.906415379089733,2.758516450767235
