from_max_extension,OKC_extension_only_Diff_z,OKC_flexion_only_Diff_z,OKC_extension_only_Diff_z_2,OKC_flexion_only_Diff_z_2,OKC_extension_only_Diff_z_3,OKC_flexion_only_Diff_z_3,OKC_extension_only_Diff_z_avg,OKC_flexion_only_Diff_z_avg,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_extension_only_Diff_z,CKC_flexion_only_Diff_z,CKC_extension_only_Diff_z_2,CKC_flexion_only_Diff_z_2,CKC_extension_only_Diff_z_3,CKC_flexion_only_Diff_z_3,CKC_extension_only_Diff_z_avg,CKC_flexion_only_Diff_z_avg,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg
25,2.1442852958083387,1.8133207218244018,0.8773961188311663,0.4207074887356197,-0.4839211427013863,-0.6123460670788248,0.6983894123200581,0.6483187030367691,-0.3753824864979367,-0.07119752197192808,-0.9599911876202079,-1.6166684064093806,-2.1267196935061703,-2.9088781828233223,-1.3639622703144916,-1.3855389347033054,9.962914370113133,9.383131716132588,9.26818777916673,11.22102639145194,9.9153996880855,12.19149641494608,8.95530072414762,10.253148544480132,6.367817633458365,6.413143297709151,6.137799653153605,7.970502884534398,6.939780363790945,8.503433842694452,5.815919869628345,7.0934769543793195
26,2.270953003182323,1.828833011861894,1.116938485468987,0.7622537893688994,-0.47315359406363866,-0.37973816499355495,0.8778852439320196,0.6051448664074824,-0.253026013613622,-0.042214806386124216,-0.6981102648858624,-1.3182640088377973,-2.084046313924896,-2.695526443243721,-1.152235969670218,-1.4339545396973152,10.191643769258109,9.797475976990764,9.3868372796972,11.603771057016756,10.417563152371923,12.270580635045071,9.273638709756176,10.716007177782037,6.542001676193296,6.766615751512937,6.2054102489081036,8.279800522689388,7.422359694612095,8.56141654134207,6.084060446634332,7.485417908734186
27,2.484265014168039,1.9083458108642992,1.3042059714595995,0.9063635636484868,-0.48915316246518836,0.07218946929540104,0.9879349204863463,0.6270581626489907,-0.03869522270863879,0.03984598545283191,-0.46413369968147755,-1.1944148059956947,-2.0691980593036803,-2.248613488049157,-1.0216154585166495,-1.4323829819577567,10.369459667300184,9.915003134083062,9.706497096282725,11.593842785216786,10.927583947232376,12.592447883252438,9.515294173032094,11.057430055871675,6.661533959747093,6.826249762563018,6.486546432043353,8.175428914084165,7.916811044851025,8.86708878705601,6.27265224500843,7.764912980558607
28,2.7178125968044835,2.0628109018020044,1.3444580318617327,0.8828143279500601,-0.4372703653889629,0.24505763347729959,1.1169433131906947,0.7375728746973597,0.20166478339891292,0.19691976922669685,-0.38845957517431895,-1.2408706221888937,-1.9892455079263147,-2.052833410307873,-0.8743883916643732,-1.3434074741448077,10.646611816250896,9.940038810039974,10.048114877972274,11.62581542957209,11.349544821131753,13.080991099419716,9.840602466607725,11.244127126534721,6.857231215985157,6.804926043967424,6.79904628895021,8.143884612405333,8.322300743604403,9.326635634117888,6.535108247369628,7.886654426958601
29,2.9932560273673365,2.273602358140674,1.3726628474268296,1.0335490645766083,-0.2616784026777026,0.12084291392706555,1.2747694682544324,0.9334092522652019,0.4772880758226221,0.3868464125842337,-0.31992672286360335,-1.0988705470572606,-1.7904103740508375,-2.1534890161659,-0.6902973125945838,-1.1676982788850607,11.144190121411206,10.350045384741128,10.341886365109602,12.040225979048676,11.698259612656846,13.59892087290254,10.255362301926477,11.378461528301331,7.294382180562547,7.18251740245198,7.057064515601414,8.521610270998732,8.65828593334366,9.805912383530082,6.906902992132281,7.9537933864102
30,3.3579082817304373,2.439926762953418,1.4865319615177066,1.3115999232504687,-0.07276479010582282,-0.04495277521405372,1.4044043837089941,1.131643520066293,0.8171830904945234,0.5168316225822265,-0.1642681696625896,-0.8093229207017378,-1.5658250203108288,-2.3171849807223164,-0.5468248479944919,-0.9908841625519414,11.598405279505394,10.905386594278426,10.607370653493476,12.634599747615097,12.003844411462243,14.040813679358244,10.688027769949864,11.600594219631864,7.713352989157838,7.715013041138832,7.277156324084494,9.061801425014355,8.958476672124828,10.215722879167163,7.311586324240047,8.140104731628744
31,3.7727915524295734,2.4969569443784656,1.659319445374615,1.4561827515685661,0.14554647949561295,0.01466758722984407,1.5693946781558132,1.2585212141441244,1.185833355197286,0.5481794237733473,0.042164990731127006,-0.6363017823706754,-1.2798033180970605,-2.241606257725292,-0.3744462918642107,-0.8678415111972622,12.001427906521151,11.412092958946662,10.906462271961427,13.250956713831805,12.381388934967791,14.299554223387737,11.090299406287711,12.014922273749258,8.088037215675637,8.182230218525149,7.546749654643078,9.617011794648139,9.33829855838501,10.46266977678033,7.687304258709358,8.523643092193296
32,4.15978443459035,2.4950739196959186,1.8373744488953314,1.3440280898316526,0.3917936836522182,0.27629082758548495,1.7948793311434512,1.309172252291151,1.5125635129004797,0.5207892931262692,0.2572575332482181,-0.7097864794300439,-0.9215000186703395,-1.95118053751112,-0.1473716769376491,-0.8140075479137896,12.348953085776357,11.866803953567551,11.204827442466634,13.831628854392065,12.65754185149964,14.683317332795994,11.435289520133862,12.52746493353412,8.388926291460363,8.559965023926864,7.833589277388692,10.155748277649604,9.619859460579182,10.83828154794896,7.996127786383087,8.982800694353037
33,4.492303242957994,2.4641038496779153,1.9704574962524997,1.012260364991694,0.5761526928331158,0.4859119659687785,2.026285966075595,1.2917779420108093,1.7831489363086195,0.49318615556181467,0.43210091750384017,-1.0237015307794441,-0.6446852372529719,-1.71318976311957,0.08649630224297256,-0.8201002025103924,12.589013204344308,12.094136278463601,11.49759756251146,14.347804191496344,12.888924523375612,15.041624339246429,11.731245029654195,12.981337955065982,8.57699673643323,8.721019680779035,8.115539114082909,10.618592299359156,9.854041401286022,11.191296101038116,8.260677441473323,9.381314619652418
34,4.676743111658432,2.472846075687726,2.1386060112403906,0.9007193339289703,0.7995501592923517,0.6053652141279819,2.219888013349792,1.2771805842497408,1.940845536241029,0.5147629890217722,0.6149378722841186,-1.152281553033709,-0.34467272859208453,-1.5422554103831096,0.3060999171307288,-0.8122099160445213,12.910402377865324,12.46539208660208,11.747996933055258,14.53352739593751,13.109199395014935,15.309830215852383,12.039691410598067,13.445944873450797,8.862795894657996,9.082842349268867,8.352276127421987,10.731077356584997,10.074899647456938,11.44993398470045,8.55162061472384,9.818104502028545
