timestamp_avg,Sensor1_x_avg,Sensor1_y_avg,Sensor1_z_avg,Sensor2_x_avg,Sensor2_y_avg,Sensor2_z_avg,Diff_x_avg,Diff_y_avg,Diff_z_avg,Diff_inv_x_avg,Diff_inv_y_avg,Diff_inv_z_avg
439.0,4.162495683965971,18.37069380412948,11.68798907861377,-1.5739811192131172,10.70287180700523,7.651526269352035,0.0,-0.06410088340502362,-0.7461598199914845,-4.0,-8.571342334261631,-2.290251523639186
700.5,4.181632060920997,18.40687313766992,11.616423419470213,-2.293903961155747,10.380200027843873,7.474344576348074,0.5459770114942529,0.38198421269215915,-0.7414156760641384,-5.0,-9.04274941074816,-2.1548056635875312
1155.3737373737374,5.2438017249705755,18.7139888856302,15.151535795984662,-2.286788810287308,10.709053549431436,7.192046292700528,1.606060606060606,0.4883823315999169,2.8565044717801324,-5.0,-9.53095274999418,-5.608909879865968
1399.065550906555,6.114192412666457,19.168296989830907,18.08215475554878,-2.2053418590163303,10.974998501825853,7.9718590407976,2.01952580195258,0.8761636775792089,4.823009388568912,-5.041841004184101,-10.153844800158756,-7.463570211893278
1780.5,5.128280698766537,13.72837813645031,3.8263461970075583,-3.368560328901087,11.461064945099046,5.72990017190821,3.3333333333333335,-5.247714050151859,-7.199215291716222,-8.166666666666666,-2.6661310080763143,3.9493451996616113
1787.0,5.540441229487955,13.392242906630473,1.9086217190719412,-3.9736021150849914,11.613725714247028,4.613088214430252,4.571428571428571,-5.776697198772068,-8.21922098116558,-9.285714285714286,-1.9067845787252569,4.9229003101691164
1817.0,7.471285158916531,10.64764303371514,0.7722344725388642,-2.6614984658859115,9.18563816878366,3.4262951813525486,5.226415094339623,-6.2571316717159275,-7.871246371848401,-10.075471698113208,-1.4319474889283133,4.5222308917206
1864.5,9.580454096538281,4.109604478313562,-0.6825186021778377,-1.3292457480915327,2.775971725762767,2.164903314334586,6.214285714285714,-6.656144443444144,-6.993045293226404,-11.023809523809524,-1.1285085008118476,3.6076170984479257
1896.5,7.945214899800714,1.7949259694581832,-2.2124075766241593,-3.968423870713622,0.730461921385723,0.7249859238174188,7.2272727272727275,-7.215136334103468,-6.734547541442959,-12.0,-0.5686753920953173,3.2598988457380824
1911.0,6.182196025539969,1.9418716234937778,-2.490694936522739,-6.73849678446914,1.1680326562707484,0.4136196958652785,8.285714285714286,-7.549399807756054,-6.817969446172619,-13.0,-0.1661165045245996,3.2755854559846895
2414.5,10.297003100363389,6.717120176799856,-3.8407404080355856,-3.8950288503120665,5.800770703637155,-1.965277979624216,9.666666666666668,-7.832081554723706,-7.0291675908110935,-14.0,0.22597541260549392,3.4147904291537676
2708.8333333333335,9.37910032077452,7.830578989588155,-4.8612430853549435,-5.738166927794816,6.884740926954297,-3.004608628025841,10.432980599647268,-8.039793407171805,-7.413335147147592,-15.0,0.5805352467808407,3.7277783027735367
2718.0,8.42889153133982,7.898754080327765,-5.431802257248271,-7.679735055051997,7.210550941352063,-3.3564674157407555,11.313131313131313,-8.398728082342146,-7.863585778494392,-16.0,1.1109558484047044,4.051971820306994
2722.8333333333335,7.691095271095674,7.932265016914184,-5.937535236977175,-9.5069067325001,7.509888060378358,-3.8061625061177367,12.444444444444445,-8.804565369935284,-8.176223654507377,-17.0,1.6641139248692003,4.2116363213835015
2726.3333333333335,7.087355512647775,7.947170977230766,-6.427115675405974,-11.13827246806145,7.805467732635075,-4.224587729384672,13.466666666666667,-9.223333019963642,-8.510124261606087,-17.933333333333334,2.236287073078597,4.371838975623885
2729.1666666666665,6.5274931197531485,8.003152016175784,-6.9716901114353975,-12.7139320143895,8.09168026721107,-4.6566531187642966,14.388888888888891,-9.605301600330797,-8.896295738225204,-18.777777777777782,2.7946134605151776,4.576113090207687
2731.8333333333335,5.920083378561073,8.094699062110367,-7.4501127668992515,-14.422497026942773,8.407420872037777,-5.174190309701914,15.388888888888891,-10.019068192628586,-9.174159698637071,-19.88888888888889,3.3597928548758667,4.6456338165731355
3254.8333333333335,5.144661280891984,10.132082246627666,-7.315268710599941,-15.18747555697199,10.407976041253573,-5.743685485414612,15.305555555555557,-10.048852564385191,-9.178387120895236,-19.694444444444446,3.3815121006230267,4.645778580783703
3258.1666666666665,5.7334532240020755,10.159559944922403,-7.1899291732302,-13.5710686350598,10.112218373273217,-5.5566274147263774,14.388888888888891,-9.648768876736282,-8.925816617388103,-18.694444444444446,2.8434049216713846,4.59158032004674
3261.8333333333335,6.408371919030233,10.131124841456979,-6.9129405200268215,-11.886973910476499,9.827898908913523,-5.277887905537118,13.411111111111111,-9.286877719408793,-8.627711429291447,-17.916666666666668,2.3314752726184302,4.4654085709138
3266.5,7.261277330391131,10.094645010721926,-6.659226953151489,-9.98281661931402,9.528544040271386,-4.844172079271697,12.442857142857143,-8.874489177695565,-8.502055168253454,-17.0,1.823284158923532,4.504478658082681
3272.8333333333335,8.437929667057924,10.097427758262867,-6.05736016810436,-7.741561706510647,9.200276153157166,-4.451030384056318,11.457671957671957,-8.414184504217902,-7.994536952296939,-16.0,1.1625930836494203,4.173413633940762
3284.5,10.107727994106666,10.153552402529789,-5.422352297838972,-5.077607025844568,8.852400896226513,-4.087812597136264,10.495238095238095,-7.896815684474693,-7.445697222786754,-15.0,0.45223253416254283,3.796076910902718
2899.0,14.840145719235895,11.062202117652866,-4.856223776577024,0.44911367675741587,9.673420623487976,-3.890757699296041,10.0,-7.712066894571158,-7.139456780579937,-14.0,0.14406202775735588,3.550653615809941
