Degrees_x,timestamp,Sensor1_x,Sensor1_y,Sensor1_z,Sensor2_x,Sensor2_y,Sensor2_z,Diff_x,Diff_y,Diff_z,Diff_inv_x,Diff_inv_y,Diff_inv_z,minus_Sensor1_x_plus_Sensor2_x,minus_Sensor1_y_plus_Sensor2_y,minus_Sensor1_z_plus_Sensor2_z,minus_Sensor2_x_plus_Sensor1_x,minus_Sensor2_y_plus_Sensor1_y,minus_Sensor2_z_plus_Sensor1_z,timestamp_2,Sensor1_x_2,Sensor1_y_2,Sensor1_z_2,Sensor2_x_2,Sensor2_y_2,Sensor2_z_2,Diff_x_2,Diff_y_2,Diff_z_2,Diff_inv_x_2,Diff_inv_y_2,Diff_inv_z_2,minus_Sensor1_x_plus_Sensor2_x_2,minus_Sensor1_y_plus_Sensor2_y_2,minus_Sensor1_z_plus_Sensor2_z_2,minus_Sensor2_x_plus_Sensor1_x_2,minus_Sensor2_y_plus_Sensor1_y_2,minus_Sensor2_z_plus_Sensor1_z_2,timestamp_3,Sensor1_x_3,Sensor1_y_3,Sensor1_z_3,Sensor2_x_3,Sensor2_y_3,Sensor2_z_3,Diff_x_3,Diff_y_3,Diff_z_3,Diff_inv_x_3,Diff_inv_y_3,Diff_inv_z_3,minus_Sensor1_x_plus_Sensor2_x_3,minus_Sensor1_y_plus_Sensor2_y_3,minus_Sensor1_z_plus_Sensor2_z_3,minus_Sensor2_x_plus_Sensor1_x_3,minus_Sensor2_y_plus_Sensor1_y_3,minus_Sensor2_z_plus_Sensor1_z_3,timestamp_avg,Sensor1_x_avg,Sensor1_y_avg,Sensor1_z_avg,Sensor2_x_avg,Sensor2_y_avg,Sensor2_z_avg,Diff_x_avg,Diff_y_avg,Diff_z_avg,Diff_inv_x_avg,Diff_inv_y_avg,Diff_inv_z_avg,minus_Sensor1_x_plus_Sensor2_x_avg,minus_Sensor1_y_plus_Sensor2_y_avg,minus_Sensor1_z_plus_Sensor2_z_avg,minus_Sensor2_x_plus_Sensor1_x_avg,minus_Sensor2_y_plus_Sensor1_y_avg,minus_Sensor2_z_plus_Sensor1_z_avg
-27,1233.0,1.0292699499204065,1.762606848334233,-13.684044027862555,-24.566212156631217,0.5322791033837966,-15.563605173188604,-27.0,2.6346769573959588,5.72875618128844,31.0,3.5166974473055292,4.506781219929706,-25.59548210655162,-1.2303277449504364,-1.8795611453260488,25.59548210655162,1.2303277449504364,1.8795611453260488,1702.5,-0.9325504943306653,1.3650041978270142,-13.15497176448294,-26.571011427634517,-0.08534126575865386,-15.843337785580943,-27.0,2.098152290229418,4.8081292567658265,31.5,3.486384113620801,5.5782097910386845,-25.638460933303854,-1.450345463585668,-2.688366021098002,25.638460933303854,1.450345463585668,2.688366021098002,2279.5,2.5956314546682964,0.9984187319079876,-12.574126612791659,-22.994407271379796,-0.29392660448809327,-15.732154977289756,-27.0,1.8974791047362798,4.219574825037952,31.5,3.3579738132187256,6.180634375006455,-25.590038726048093,-1.2923453363960808,-3.1580283644980973,25.590038726048093,1.2923453363960808,3.1580283644980973,1738.3333333333333,0.8974503034193458,1.3753432593564117,-13.137714135045718,-24.71054361854851,0.05100374437901648,-15.7130326453531,-27.0,2.210102784120552,4.918820087697406,31.333333333333332,3.453685124715019,5.421875128658282,-25.607993921967857,-1.324339514977395,-2.575318510307383,25.607993921967857,1.324339514977395,2.575318510307383
-28,1234.5,0.9299298207389963,1.7262418825507595,-13.522091187342864,-25.696031867286877,0.5093136347912077,-15.807638404437476,-28.0,2.728834417114987,5.593630535802417,32.5,3.285975321003021,4.63047214746871,-26.625961688025875,-1.2169282477595518,-2.285547217094611,26.625961688025875,1.2169282477595518,2.285547217094611,1704.0,-1.0302543371496344,1.33374887873671,-13.098612046944403,-27.596761383996522,-0.13073143898180817,-16.03724997846388,-28.0,2.1948321002286564,4.7889165959391455,32.0,3.3056876028012843,5.597289715809578,-26.566507046846887,-1.4644803177185182,-2.9386379315194766,26.566507046846887,1.4644803177185182,2.9386379315194766,2281.5,2.3852166550112557,0.9256296825650789,-12.590586137552624,-24.23808594368749,-0.38652038614552353,-16.07266688716618,-28.0,2.025861123073876,4.121154574326733,32.5,3.0858744435623127,6.253644193957527,-26.623302598698746,-1.3121500687106025,-3.482080749613554,26.623302598698746,1.3121500687106025,3.482080749613554,1740.0,0.7616307128668725,1.3285401479508494,-13.070429790613298,-25.843626398323632,-0.002646063445374658,-15.972518423355845,-28.0,2.3165092134725067,4.834567235356098,32.333333333333336,3.225845789122206,5.493802019078605,-26.6052571111905,-1.331186211396224,-2.9020886327425472,26.6052571111905,1.331186211396224,2.9020886327425472
-29,1236.0,0.8486552507188567,1.6673954735778054,-13.263399638865979,-26.845246195981403,0.47262448787455824,-16.042274682882745,-29.0,2.780990043694132,5.38304050823214,33.0,3.0434122927874188,4.8360683854618856,-27.69390144670026,-1.1947709857032471,-2.7788750440167664,27.69390144670026,1.1947709857032471,2.7788750440167664,1705.5,-1.1260324519879235,1.31206447633574,-13.028284216570988,-28.633641524912072,-0.17591892285344457,-16.212240156244818,-29.0,2.280080197725,4.7829427957241135,33.5,3.14093819249095,5.607452545256461,-27.507609072924147,-1.4879833991891847,-3.1839559396738304,27.507609072924147,1.4879833991891847,3.1839559396738304,2283.5,2.163777486058182,0.8722643438926951,-12.59829918939434,-25.524160927379754,-0.4770613952766949,-16.402277795920615,-29.0,2.1438406479892977,4.039555194339226,33.5,2.826918113261248,6.3121166312865515,-27.687938413437937,-1.34932573916939,-3.803978606526276,27.687938413437937,1.34932573916939,3.803978606526276,1741.6666666666667,0.6288000949297051,1.2839080979354136,-12.963327681610435,-27.001016216091074,-0.06011861008519374,-16.218930878349394,-29.0,2.401636963136143,4.735179499431826,33.333333333333336,3.0037561995132056,5.5852125206683,-27.62981631102078,-1.3440267080206072,-3.255603196738958,27.62981631102078,1.3440267080206072,3.255603196738958
-30,1237.0,0.8022127491637296,1.6175284347095022,-13.042212259760948,-27.621910446334347,0.439916944487857,-16.194851220440412,-30.0,2.7900890694310263,5.204707660292675,34.0,2.876715492095267,5.015454209724851,-28.424123195498076,-1.1776114902216452,-3.1526389606794645,28.424123195498076,1.1776114902216452,3.1526389606794645,1707.0,-1.2178269725573645,1.2913413635645483,-12.932133338215676,-29.683358382518367,-0.22501930424257388,-16.384605912295143,-30.0,2.3504360201400747,4.761265077578967,34.0,2.9786933513655347,5.636369639206165,-28.465531409961002,-1.5163606678071222,-3.452472574079467,28.465531409961002,1.5163606678071222,3.452472574079467,2285.5,1.9511737002796612,0.8383087630701542,-12.585142028140123,-26.83591822161653,-0.560963534604408,-16.723384825975998,-30.0,2.250020276302435,3.9638050322508507,34.5,2.5763801276425973,6.3665152330847885,-28.78709192189619,-1.3992722976745622,-4.138242797835875,28.78709192189619,1.3992722976745622,4.138242797835875,1743.1666666666667,0.5118531589620088,1.2490595204480683,-12.853162542038916,-28.04706235015642,-0.11535529811970828,-16.43428065290385,-30.0,2.4635151219578453,4.6432592567074975,34.166666666666664,2.8105963237011333,5.672779694005269,-28.558915509118425,-1.3644148185677765,-3.581118110864935,28.558915509118425,1.3644148185677765,3.581118110864935
-31,1238.5,0.7570023021666334,1.538657094722879,-12.587785142740678,-28.841515754502236,0.3813404833239842,-16.439643231367157,-31.0,2.734458086202049,4.839505328058473,35.5,2.6121720970408515,5.4006927204833435,-29.598518056668873,-1.1573166113988949,-3.8518580886264786,29.598518056668873,1.1573166113988949,3.8518580886264786,1708.5,-1.3022955377163483,1.266912078374693,-12.822389485747475,-30.72668645532042,-0.27827349150844327,-16.53367857964682,-31.0,2.4131855954911905,4.748313161011923,35.5,2.8275837993593935,5.658367170277021,-29.42439091760407,-1.5451855698831363,-3.711289093899347,29.42439091760407,1.5451855698831363,3.711289093899347,2287.0,1.8038870281478494,0.8283425826537396,-12.521003777830423,-27.832327500661854,-0.6193060251031959,-16.93628761824676,-31.0,2.296787488045509,3.9026808216912277,35.0,2.4098963752789127,6.426157608705975,-29.636214528809703,-1.4476486077569355,-4.415283840416336,29.636214528809703,1.4476486077569355,4.415283840416336,1744.6666666666667,0.4195312641993782,1.2113039185837706,-12.643726135439527,-29.133509903494836,-0.17207967776255165,-16.636536476420243,-31.0,2.4814770565795827,4.496833103587208,35.333333333333336,2.6165507572263857,5.828405833155447,-29.553041167694214,-1.3833835963463221,-3.99281034098072,29.553041167694214,1.3833835963463221,3.99281034098072
-32,1240.0,0.7265030600118028,1.4765370386841958,-12.08204666002634,-30.088025592423204,0.32407694743098325,-16.68774801567338,-32.0,2.6338417051842002,4.453314869688869,36.0,2.355166672102425,5.823364248940941,-30.81452865243501,-1.1524600912532126,-4.605701355647042,30.81452865243501,1.1524600912532126,4.605701355647042,1710.5,-1.3995487086939167,1.2287259451306412,-12.643375486110513,-32.15613370316184,-0.3482733946051759,-16.72227603496758,-32.0,2.492859931115919,4.722833548186907,36.5,2.6196185628365667,5.693843434321659,-30.75658499446793,-1.576999339735817,-4.078900548857069,30.75658499446793,1.576999339735817,4.078900548857069,2288.5,1.668867736627937,0.8156840173149789,-12.416356303554789,-28.82109304544494,-0.6847766030144626,-17.118924889299826,-32.0,2.317111640282098,3.837298587980748,36.5,2.260568178781739,6.501098147073404,-30.489960782072874,-1.5004606203294415,-4.70256858574504,30.489960782072874,1.5004606203294415,4.70256858574504,1746.3333333333333,0.33194069598194104,1.1736490003766054,-12.380592816563881,-30.355084113676664,-0.2363243500628851,-16.842982979980263,-32.0,2.4812710921940724,4.337815668618841,36.333333333333336,2.4117844712402436,6.006101943445334,-30.687024809658606,-1.4099733504394905,-4.462390163416384,30.687024809658606,1.4099733504394905,4.462390163416384
-33,1241.0,0.7123192210024536,1.4452657104054332,-11.727085612547384,-30.929245610233114,0.2867029690484788,-16.853345995613783,-33.0,2.544418521421976,4.195176840494634,37.0,2.190079232878876,6.114746119847836,-31.641564831235566,-1.1585627413569544,-5.126260383066398,31.641564831235566,1.1585627413569544,5.126260383066398,1712.0,-1.4611143936592987,1.1956644567238222,-12.498464281999798,-33.25387470070319,-0.403110345799254,-16.867727595517092,-33.0,2.553715066981759,4.696509003770332,38.0,2.454764507318861,5.723016376266915,-31.792760307043896,-1.5987748025230761,-4.369263313517294,31.792760307043896,1.5987748025230761,4.369263313517294,2290.5,1.5041137645536127,0.7885835201412998,-12.208086813401572,-30.149769751097107,-0.7812442441914298,-17.32550701885867,-33.0,2.306464295509207,3.7314347155356176,37.5,2.0750710408237287,6.6350840263619855,-31.65388351565072,-1.5698277643327296,-5.1174202054570985,31.65388351565072,1.5698277643327296,5.1174202054570985,1747.8333333333333,0.2517728639655892,1.143171229090185,-12.14454556931625,-31.444296687344472,-0.299217206980735,-17.015526869996517,-33.0,2.4681992946376474,4.207706853266861,37.5,2.2399715936738223,6.157615507492245,-31.69606955131006,-1.44238843607092,-4.870981300680263,31.69606955131006,1.44238843607092,4.870981300680263
-34,1242.5,0.701904711565736,1.3991711424202187,-11.232799406735968,-32.21679448283991,0.24005155617014307,-17.105482075298095,-34.0,2.4375706749257313,3.8509128750805046,38.5,1.9284902588748332,6.495317742063286,-32.91869919440564,-1.1591195862500756,-5.872682668562127,32.91869919440564,1.1591195862500756,5.872682668562127,1713.0,-1.4988226373576714,1.172086192656895,-12.40495731925607,-33.989488973989,-0.44274783471205836,-16.968624971393098,-34.0,2.5954361462290025,4.6777446934517375,38.0,2.3423124348395343,5.740645819839925,-32.49066633663133,-1.6148340273689534,-4.563667652137028,32.49066633663133,1.6148340273689534,4.563667652137028,2292.5,1.355284607888391,0.7554071234082596,-11.940915447052703,-31.48320955613424,-0.875204007869625,-17.491009529052263,-34.0,2.2684552088643137,3.6217124571438917,38.5,1.9023639529121479,6.784786829918053,-32.838494164022634,-1.6306111312778846,-5.5500940819995614,32.838494164022634,1.6306111312778846,5.5500940819995614,1749.3333333333333,0.18612222736548514,1.1088881528284578,-11.859557391014912,-32.563164337654385,-0.35930009547051345,-17.188372191914485,-34.0,2.4338206766730157,4.050123341892045,38.333333333333336,2.0577222155421717,6.340250130607089,-32.749286565019865,-1.4681882482989712,-5.328814800899572,32.749286565019865,1.4681882482989712,5.328814800899572
-35,1244.0,0.6942688115119329,1.3616370144955887,-10.768867221323346,-33.482720004408606,0.19772041265308005,-17.32995085360476,-35.0,2.3350373732867187,3.56477161448988,40.0,1.6890733952394215,6.820269066874628,-34.17698881592054,-1.1639166018425087,-6.561083632281415,34.17698881592054,1.1639166018425087,6.561083632281415,1714.5,-1.5551799778621869,1.1349342097239923,-12.23763834439897,-35.105999864860095,-0.5102638502081351,-17.10871209244486,-35.0,2.6365956028845963,4.640955180208544,39.5,2.1833122046232267,5.784111153030679,-33.550819886997914,-1.6451980599321274,-4.871073748045888,33.550819886997914,1.6451980599321274,4.871073748045888,2294.0,1.2435836933486724,0.7298856202256694,-11.742547943162256,-32.484900687159055,-0.9463939410065088,-17.587452973110377,-35.0,2.239125495127025,3.56969138488674,39.0,1.7892161629619094,6.871559898880888,-33.72848438050773,-1.6762795612321781,-5.844905029948121,33.72848438050773,1.6762795612321781,5.844905029948121,1750.8333333333333,0.1275575089994728,1.0754856148150835,-11.583017836294857,-33.691206852142585,-0.4196457928538546,-17.34203863972,-35.0,2.4035861570994466,3.925139393195055,39.5,1.8872005876081859,6.491980039595398,-33.81876436114206,-1.4951314076689382,-5.759020803425142,33.81876436114206,1.4951314076689382,5.759020803425142
-36,1245.0,0.6898145321323828,1.3412747674869507,-10.473178651063712,-34.31268258069049,0.170661665915258,-17.463924165292383,-36.0,2.2653846242902818,3.4037762973452086,40.0,1.543555297673155,7.010370578572267,-35.00249711282287,-1.1706131015716927,-6.990745514228671,35.00249711282287,1.1706131015716927,6.990745514228671,1716.0,-1.6094582973652867,1.0993442769344206,-12.054765356014748,-36.22650919586505,-0.5761518396638934,-17.24278382280049,-36.0,2.6684764152129326,4.6001164031001185,40.0,2.027590017017813,5.8333880007797285,-34.61705089849976,-1.675496116598314,-5.188018466785742,34.61705089849976,1.675496116598314,5.188018466785742,2295.5,1.126156676636601,0.70307318189864,-11.557271112696519,-33.49137368425079,-1.0265722267736095,-17.652659292366316,-36.0,2.208115089328441,3.559168282406477,40.5,1.7015890813657202,6.925780830509995,-34.617530360887386,-1.7296454086722495,-6.095388179669795,34.617530360887386,1.7296454086722495,6.095388179669795,1752.1666666666667,0.06883763713456566,1.047897408773337,-11.361738373258326,-34.67685515360211,-0.47735413350741496,-17.45312242681973,-36.0,2.3806587096105516,3.854353660950601,40.166666666666664,1.757578132018896,6.589846469953997,-34.745692790736676,-1.525251542280752,-6.091384053561403,34.745692790736676,1.525251542280752,6.091384053561403
