from_max_extension,OKC_extension_only_Diff_z,OKC_flexion_only_Diff_z,OKC_extension_only_Diff_z_2,OKC_flexion_only_Diff_z_2,OKC_extension_only_Diff_z_3,OKC_flexion_only_Diff_z_3,OKC_extension_only_Diff_z_avg,OKC_flexion_only_Diff_z_avg,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_2,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_2,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_3,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_3,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_avg,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_avg,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_extension_only_Diff_z,CKC_flexion_only_Diff_z,CKC_extension_only_Diff_z_2,CKC_flexion_only_Diff_z_2,CKC_extension_only_Diff_z_3,CKC_flexion_only_Diff_z_3,CKC_extension_only_Diff_z_avg,CKC_flexion_only_Diff_z_avg,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_2,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_2,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_3,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_3,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_avg,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_avg,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg
0,-0.6442414522332189,3.288131426032404,-2.5231825390655076,2.9105348086518164,-2.3028515345294553,3.1395279961322293,-1.8234251752760606,3.1127314102721493,-5.463441289178448,-1.8402759477858954,-6.509461957562868,-2.0571862761473625,-6.41371385257546,-1.199776400014425,-6.128872366438926,-1.6990795413158943,5.463441289178448,1.8402759477858954,6.509461957562868,2.0571862761473625,6.41371385257546,1.199776400014425,6.128872366438926,1.6990795413158943,-3.5622742406731156,-6.761939576882844,-5.982173748984524,-9.407648416874437,-6.232611888599209,-10.814112754708459,-5.259019959418949,-8.994566916155248,-7.264769927149027,-16.284194579575797,-15.376004815759757,-18.92652178839471,-15.177477003992745,-19.567649730864886,-12.60608391563384,-18.259455366278463,7.264769927149027,16.284194579575797,15.376004815759757,18.92652178839471,15.177477003992745,19.567649730864886,12.60608391563384,18.259455366278463
1,-0.8040188689491019,3.014446719972552,-2.5170030385931215,2.4746840234802923,-1.9468954025673004,2.9741651130650406,-1.7559724367031748,2.821098618839295,-5.251927089449351,-1.75082721208443,-6.186597232968994,-2.144030591875655,-5.676617928485811,-1.0239975446717982,-5.7050474169680525,-1.639618449543961,5.251927089449351,1.75082721208443,6.186597232968994,2.144030591875655,5.676617928485811,1.0239975446717982,5.7050474169680525,1.639618449543961,-3.795733789224289,-7.0609507539321985,-6.247565674402652,-9.492888600085262,-6.75679386233849,-11.354051350880937,-5.600031108655144,-9.302630234966133,-7.0945057690680855,-16.019715725744117,-15.190535701397852,-18.43843621960059,-15.24809949587018,-19.576767322920873,-12.511046988778707,-18.011639756088528,7.0945057690680855,16.019715725744117,15.190535701397852,18.43843621960059,15.24809949587018,19.576767322920873,12.511046988778707,18.011639756088528
2,-0.9595103169618597,2.5201552770269364,-2.6813828832721978,1.8449693423188895,-1.8457545084490328,2.657627487987771,-1.8288825695610302,2.340917369111199,-5.053167776944733,-1.8314543285329528,-6.045346646863576,-2.4368206190286053,-5.202850542981949,-1.0069838383303598,-5.43378832226342,-1.7584195952973058,5.053167776944733,1.8314543285329528,6.045346646863576,2.4368206190286053,5.202850542981949,1.0069838383303598,5.43378832226342,1.7584195952973058,-3.8849079519832244,-7.338936498645887,-6.759072919940216,-9.77788687079492,-7.248393567903399,-12.089247943622306,-5.964124813275613,-9.735357104354371,-6.810699823692623,-15.73624112185125,-15.133931902217702,-18.093686094564685,-15.161028768857514,-19.70412871904603,-12.368553498255947,-17.844685311820655,6.810699823692623,15.73624112185125,15.133931902217702,18.093686094564685,15.161028768857514,19.70412871904603,12.368553498255947,17.844685311820655
3,-1.07898493691031,1.9681829964718143,-3.03286756563591,1.1016969421213765,-2.0815715484969677,2.138669764229915,-2.0644746836810626,1.7361832342743686,-4.843781295813155,-1.9571311331383459,-6.104403620490626,-2.8464015629271913,-5.0742023192024845,-1.2131803937773828,-5.340795745168755,-2.00557102994764,4.843781295813155,1.9571311331383459,6.104403620490626,2.8464015629271913,5.0742023192024845,1.2131803937773828,5.340795745168755,2.00557102994764,-3.944456438702565,-7.695616421389041,-7.327510354698692,-10.151012525497396,-7.566966929171628,-12.793202996608295,-6.279644574190962,-10.213277314498244,-6.535903326590411,-15.54558850451651,-15.160723153598832,-17.85188147744317,-14.963336499857519,-19.85923175222153,-12.219987660015589,-17.752233911393734,6.535903326590411,15.54558850451651,15.160723153598832,17.85188147744317,14.963336499857519,19.85923175222153,12.219987660015589,17.752233911393734
4,-1.2007966343367427,1.5773973001640402,-3.427650448349591,0.4013021016921461,-2.501389854405202,1.5583116218578597,-2.376612312363845,1.1790036745713486,-4.568924993314823,-1.9580183785653391,-6.230884198148253,-3.2146760277665702,-5.222175393769236,-1.4739235974922362,-5.34066152841077,-2.2155393346080485,4.568924993314823,1.9580183785653391,6.230884198148253,3.2146760277665702,5.222175393769236,1.4739235974922362,5.34066152841077,2.2155393346080485,-4.033267121499254,-8.344350647649458,-7.796562970164548,-10.41952334986158,-7.886418672158175,-13.536115779496228,-6.572082921273992,-10.766663259002422,-6.309821256719875,-15.628454898835798,-15.21800720005746,-17.6507969162786,-14.784750434006213,-20.077584906592108,-12.104192963594516,-17.785612240568835,6.309821256719875,15.628454898835798,15.21800720005746,17.6507969162786,14.784750434006213,20.077584906592108,12.104192963594516,17.785612240568835
5,-1.3551260829295275,1.346729467549702,-3.8161693064572897,-0.15017184037406928,-3.073009821206419,1.0132749993655699,-2.748101736864412,0.7366108755137342,-4.444153463887282,-1.8389298032463597,-6.2954743227012715,-3.452328470980296,-5.534448501406372,-1.7099838719966687,-5.424692095998307,-2.3337473820744417,4.444153463887282,1.8389298032463597,6.2954743227012715,3.452328470980296,5.534448501406372,1.7099838719966687,5.424692095998307,2.3337473820744417,-4.166399749391445,-9.040497483944796,-8.302518023253583,-10.813152918221249,-8.535568183926308,-14.098164084760006,-7.0014953188571125,-11.317271495642018,-6.11822232937611,-15.735749626911987,-15.227115720951232,-17.47607781854072,-14.953417045083668,-20.093199247080623,-12.09958503180367,-17.768342230844443,6.11822232937611,15.735749626911987,15.227115720951232,17.47607781854072,14.953417045083668,20.093199247080623,12.09958503180367,17.768342230844443
6,-1.6086677853396538,1.1298959211182988,-3.884201709036778,-0.6411239259716195,-3.635448753293973,0.31636584935659623,-3.0427727492234684,0.26837928150109186,-4.446621873705251,-1.7154612809563545,-6.016208134605852,-3.641953318272991,-5.855452182690154,-2.0625836414113885,-5.4394273970004186,-2.4733327468802444,4.446621873705251,1.7154612809563545,6.016208134605852,3.641953318272991,5.855452182690154,2.0625836414113885,5.4394273970004186,2.4733327468802444,-4.38258530048276,-9.5794854834643,-8.80730319623182,-11.28591232902507,-9.449573658806663,-14.476066547968264,-7.546487385173748,-11.780488120152546,-6.037779990829911,-15.75931715193434,-15.195260371458126,-17.38737150760922,-15.391320330026232,-19.952311877988326,-12.208120230771422,-17.69966684584396,6.037779990829911,15.75931715193434,15.195260371458126,17.38737150760922,15.391320330026232,19.952311877988326,12.208120230771422,17.69966684584396
7,-2.0357721790398697,0.8571860487550824,-3.63042060381753,-1.0559855838955718,-4.153686351836669,-0.4072585917696435,-3.2732930448980233,-0.202019375636711,-4.535439480074679,-1.6286552128454597,-5.436442957200329,-3.737572300235397,-6.062372525498181,-2.4204827805498184,-5.34475165425773,-2.5955700978768914,4.535439480074679,1.6286552128454597,5.436442957200329,3.737572300235397,6.062372525498181,2.4204827805498184,5.34475165425773,2.5955700978768914,-4.784604423019619,-9.959555120676342,-9.312313944120142,-11.747064430842753,-10.471159116070803,-14.838564327922462,-8.189359161070188,-12.181727959813854,-6.177903991681974,-15.639705423038423,-15.14600966194594,-17.36888944153181,-15.903360191918097,-19.783392205604944,-12.409091281848669,-17.597329023391726,6.177903991681974,15.639705423038423,15.14600966194594,17.36888944153181,15.903360191918097,19.783392205604944,12.409091281848669,17.597329023391726
8,-2.5606315455160167,0.7021630924246978,-3.449373097740277,-1.4238389248421341,-4.48999846465696,-0.9157762977444669,-3.5000010359710845,-0.5458173767206344,-4.726797961278006,-1.4055669148106573,-4.895117577177884,-3.6904273493265882,-6.108500756254577,-2.514391058595092,-5.243472098236823,-2.5367951075774458,4.726797961278006,1.4055669148106573,4.895117577177884,3.6904273493265882,6.108500756254577,2.514391058595092,5.243472098236823,2.5367951075774458,-5.156833272773543,-10.218109963102446,-9.603416072599176,-12.23113287335611,-11.598352436452396,-14.994128968947125,-8.786200593941706,-12.481123935135228,-6.287269874397851,-15.40511682504338,-14.89391966829692,-17.340110314304145,-16.41519911904654,-19.322471542871437,-12.532129553913771,-17.355899560739655,6.287269874397851,15.40511682504338,14.89391966829692,17.340110314304145,16.41519911904654,19.322471542871437,12.532129553913771,17.355899560739655
9,-3.0861934084515616,0.49903348253587493,-3.577055899161612,-1.4573132411829282,-4.564080545666653,-1.2351117275519263,-3.7424432844266087,-0.7311304953996599,-4.942799002563639,-1.2111293812921886,-4.7636170201824335,-3.2259410089621516,-5.941884306664584,-2.4764303379834995,-5.216100109803552,-2.3045002427459464,4.942799002563639,1.2111293812921886,4.7636170201824335,3.2259410089621516,5.941884306664584,2.4764303379834995,5.216100109803552,2.3045002427459464,-5.303259733300798,-10.343468687491477,-10.188748411628799,-12.836219921300062,-13.379188761335817,-14.017994881154255,-9.62373230208847,-12.39922782998193,-6.134658806589967,-15.058597044750552,-14.921206250508357,-17.43323458824971,-17.528462955791873,-17.94075549650114,-12.861442670963399,-16.810862376500467,6.134658806589967,15.058597044750552,14.921206250508357,17.43323458824971,17.528462955791873,17.94075549650114,12.861442670963399,16.810862376500467
