from_max_extension,OKC_extension_only_Diff_z,OKC_flexion_only_Diff_z,OKC_extension_only_Diff_z_2,OKC_flexion_only_Diff_z_2,OKC_extension_only_Diff_z_3,OKC_flexion_only_Diff_z_3,OKC_extension_only_Diff_z_avg,OKC_flexion_only_Diff_z_avg,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_2,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_2,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_3,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_3,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_avg,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_avg,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_extension_only_Diff_z,CKC_flexion_only_Diff_z,CKC_extension_only_Diff_z_2,CKC_flexion_only_Diff_z_2,CKC_extension_only_Diff_z_3,CKC_flexion_only_Diff_z_3,CKC_extension_only_Diff_z_avg,CKC_flexion_only_Diff_z_avg,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_2,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_2,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_3,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_3,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_avg,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_avg,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg
0,-2.1615955557972844,-2.3263802639618087,-2.1229843911127335,-2.2392664700081286,-3.448213126799059,-3.4108327714990043,-3.448213126799059,-3.4108327714990043,-7.501145948511564,-7.663960643059185,-7.136249142954544,-7.264567988200792,-7.98474885786373,-7.97273830794332,-7.98474885786373,-7.97273830794332,7.501145948511564,7.663960643059185,7.136249142954544,7.264567988200792,7.98474885786373,7.97273830794332,7.98474885786373,7.97273830794332,-8.30513391473543,-8.023879800552367,-4.054629756934483,-4.678889640857671,-4.766095175347208,-5.567957501316595,-4.766095175347208,-5.567957501316595,-11.291499758462795,-11.015976714571222,-6.6160849001031234,-7.244700672840473,-7.117242658255391,-7.934671538118665,-7.117242658255391,-7.934671538118665,11.291499758462795,11.015976714571222,6.6160849001031234,7.244700672840473,7.117242658255391,7.934671538118665,7.117242658255391,7.934671538118665
1,-2.201727470781429,-2.53597369282227,-2.006260803847032,-2.525494134477482,-3.1709526570180926,-2.896639537107309,-2.646968524065413,-2.5679530035577187,-7.616841661705836,-8.028487090178738,-7.2622417221877225,-7.787640979664827,-8.084567365483856,-7.762706463233019,-7.6104082542192,-7.513637225716906,7.616841661705836,8.028487090178738,7.2622417221877225,7.787640979664827,8.084567365483856,7.762706463233019,7.6104082542192,7.513637225716906,-7.906705419394251,-7.8469642691354915,-4.17257468389295,-5.070771971808595,-4.540153335032467,-5.962208114405145,-4.540153335032467,-5.962208114405145,-10.93558640317923,-10.919600554365044,-6.824476658744731,-7.7274047285656975,-6.979918679686688,-8.418292413237747,-6.979918679686688,-8.418292413237747,10.93558640317923,10.919600554365044,6.824476658744731,7.7274047285656975,6.979918679686688,8.418292413237747,6.979918679686688,8.418292413237747
2,-2.124479099830646,-2.7010702857434095,-2.2527893161251042,-2.5902311355684438,-3.1030043061991712,-3.4184569630771784,-2.423620221947829,-2.7567771205054896,-7.873586250776179,-8.48850262228386,-7.8258351264493085,-8.132749864178207,-8.323722787098983,-8.69336815403053,-7.695703485932756,-8.048323258918181,7.873586250776179,8.48850262228386,7.8258351264493085,8.132749864178207,8.323722787098983,8.69336815403053,7.695703485932756,8.048323258918181,-7.599789874868898,-7.730443419756984,-4.438680140637187,-5.2940516316769095,-4.952217657651329,-6.533573067280788,-4.503423707292907,-5.606231354069229,-10.69842111568611,-10.916641347104639,-7.189039247758499,-8.047717536257576,-7.497670205553272,-9.083182938334755,-7.0568775528281975,-8.163941805587614,10.69842111568611,10.916641347104639,7.189039247758499,8.047717536257576,7.497670205553272,9.083182938334755,7.0568775528281975,8.163941805587614
3,-2.6184197990912934,-2.7874120361897465,-2.2235656840784976,-2.5674377161005455,-3.189000551690883,-3.5490459814409068,-2.5478391128658053,-2.8917502699438735,-8.70910902110455,-8.879357520961547,-8.144424150753162,-8.426289741569388,-8.761226031133006,-9.13450975080269,-8.067967606429383,-8.431915568386545,8.70910902110455,8.879357520961547,8.144424150753162,8.426289741569388,8.761226031133006,9.13450975080269,8.067967606429383,8.431915568386545,-7.4053244674314165,-7.7207769196034945,-4.68151324141703,-5.478375367780692,-5.446165573181759,-6.746757687967062,-4.8093701285373545,-5.908764829887828,-10.576855919408322,-11.036960194082761,-7.52020586116042,-8.335077356140749,-8.097516120354271,-9.385344779387736,-7.460996389549502,-8.556374753976717,10.576855919408322,11.036960194082761,7.52020586116042,8.335077356140749,8.097516120354271,9.385344779387736,7.460996389549502,8.556374753976717
4,-3.4375864443650492,-2.8979125712963287,-2.2167511571742033,-2.626697516435472,-3.2438156161052003,-3.5769263648071745,-2.5306201333381146,-2.9484781222170433,-9.853521849106503,-9.312958670131907,-8.466634907987963,-8.690398307346031,-9.186653961331789,-9.460935836122513,-8.401554787620377,-8.791909399991921,9.853521849106503,9.312958670131907,8.466634907987963,8.690398307346031,9.186653961331789,9.460935836122513,8.401554787620377,8.791909399991921,-7.5397270867519985,-7.79823615874974,-4.824518272798391,-5.4247875088790956,-5.824328860842061,-6.776136438605451,-5.131504500739624,-6.03509403514118,-10.789589464548408,-11.241490315205407,-7.752758827944291,-8.390903632488909,-8.585175878053866,-9.510981433565146,-7.887107562906182,-8.77934948491136,10.789589464548408,11.241490315205407,7.752758827944291,8.390903632488909,8.585175878053866,9.510981433565146,7.887107562906182,8.77934948491136
5,-3.2617840432137255,-3.3624034582564675,-2.376052156525812,-2.472009136886952,-3.6112682640893876,-3.28985570722531,-2.815479740118295,-2.9013217532835096,-10.012435608442404,-10.107772631700131,-8.952928273082538,-8.848407027321894,-9.918576026188493,-9.516345970727276,-9.031439985093668,-9.028700599678285,10.012435608442404,10.107772631700131,8.952928273082538,8.848407027321894,9.918576026188493,9.516345970727276,9.031439985093668,9.028700599678285,-7.719423735822427,-7.879246897807787,-4.56798077782654,-5.225387896186206,-6.052226871727953,-6.715764645306564,-5.366870056572491,-6.097070006543628,-11.04199006160396,-11.454878120188237,-7.590825004789523,-8.297631704937023,-8.926356423041394,-9.55860594355607,-8.223281142100907,-8.946841649848409,11.04199006160396,11.454878120188237,7.590825004789523,8.297631704937023,8.926356423041394,9.55860594355607,8.223281142100907,8.946841649848409
6,-3.1858688364744046,-3.830425329762529,-2.624562603329374,-2.480967341683075,-3.2329455871518746,-3.4089068925491985,-3.0155280626809122,-2.92627620024416,-10.287524886093902,-10.902705734449176,-9.51690438359445,-9.163434263253189,-9.842788896260027,-9.955243932716446,-9.549746339483022,-9.37220321005675,10.287524886093902,10.902705734449176,9.51690438359445,9.163434263253189,9.842788896260027,9.955243932716446,9.549746339483022,9.37220321005675,-7.709309742279302,-7.927953728800565,-3.8859429746250402,-5.035093701331728,-6.214789461692508,-6.535558101254273,-6.448147216408777,-6.6614084702285785,-11.09419381066084,-11.640578244215536,-7.0075186098964295,-8.223595980394151,-9.202938433387553,-9.478417818057395,-9.415732339931546,-9.628432721705842,11.09419381066084,11.640578244215536,7.0075186098964295,8.223595980394151,9.202938433387553,9.478417818057395,9.415732339931546,9.628432721705842
7,-3.645391924102945,-4.246303378001045,-2.8888726044760227,-2.8011930655852173,-3.71505497594283,-3.988140880925698,-3.20046720749531,-3.2771705602884134,-11.102614358511802,-11.601320887681256,-10.126521164712633,-9.801900980180715,-10.66457394868715,-10.881052476730632,-10.064637980241335,-10.050753123894651,11.102614358511802,11.601320887681256,10.126521164712633,9.801900980180715,10.66457394868715,10.881052476730632,10.064637980241335,10.050753123894651,-7.59584614812381,-7.768671209277446,-3.211095392786715,-4.941852326793599,-6.332412682348515,-6.294041420240187,-6.269032959856435,-6.455464528520628,-11.060765999293926,-11.597578370389003,-6.428386903709827,-8.225992515203947,-9.4389537213021,-9.337693025353223,-9.321788376423617,-9.51830842821843,11.060765999293926,11.597578370389003,6.428386903709827,8.225992515203947,9.4389537213021,9.337693025353223,9.321788376423617,9.51830842821843
8,-4.268168488350618,-4.545488066018761,-3.174832516160547,-2.804625802574283,-3.9814966376929593,-4.402754392975308,-3.352079359547796,-3.6781242627743516,-12.029428984308101,-12.180301698978425,-10.757985566382548,-10.1331771747012,-11.273898180532052,-11.579907648462912,-10.562648077112861,-10.761504787697602,12.029428984308101,12.180301698978425,10.757985566382548,10.1331771747012,11.273898180532052,11.579907648462912,10.562648077112861,10.761504787697602,-7.394730623257264,-7.675030606097802,-2.660294082609325,-5.0088009879606235,-6.421354910321871,-6.050560587074831,-5.969029253271937,-6.272032569387847,-10.941514806387277,-11.648172248520504,-5.964310525039272,-8.39321749365824,-9.644216284922338,-9.202269013706312,-9.116718670168291,-9.447502113735034,10.941514806387277,11.648172248520504,5.964310525039272,8.39321749365824,9.644216284922338,9.202269013706312,9.116718670168291,9.447502113735034
9,-4.45770798784025,-4.890257246723907,-3.3126657491707703,-3.423908926525618,-3.845900477040213,-4.907509634905557,-3.5553749724345685,-3.986146271826962,-12.514276973493013,-12.83983237405138,-11.214628869173078,-11.11036316069287,-11.471795581868497,-12.395706186619472,-11.110798502254283,-11.376734749667309,12.514276973493013,12.83983237405138,11.214628869173078,11.11036316069287,11.471795581868497,12.395706186619472,11.110798502254283,11.376734749667309,-7.090120638338704,-7.664439944768755,-2.3600242301783334,-5.156796420904046,-6.481997860469488,-5.915367417870712,-5.699472573562541,-6.192665554755936,-10.699483906136374,-11.769305841493363,-5.759545477043923,-8.632120614277715,-9.814453031870956,-9.187293459376447,-8.939898618329702,-9.483415389554386,10.699483906136374,11.769305841493363,5.759545477043923,8.632120614277715,9.814453031870956,9.187293459376447,8.939898618329702,9.483415389554386
