Degrees_x,timestamp,Sensor1_x,Sensor1_y,Sensor1_z,Sensor2_x,Sensor2_y,Sensor2_z,Diff_x,Diff_y,Diff_z,Diff_inv_x,Diff_inv_y,Diff_inv_z,minus_Sensor1_x_plus_Sensor2_x,minus_Sensor1_y_plus_Sensor2_y,minus_Sensor1_z_plus_Sensor2_z,minus_Sensor2_x_plus_Sensor1_x,minus_Sensor2_y_plus_Sensor1_y,minus_Sensor2_z_plus_Sensor1_z,timestamp_2,Sensor1_x_2,Sensor1_y_2,Sensor1_z_2,Sensor2_x_2,Sensor2_y_2,Sensor2_z_2,Diff_x_2,Diff_y_2,Diff_z_2,Diff_inv_x_2,Diff_inv_y_2,Diff_inv_z_2,minus_Sensor1_x_plus_Sensor2_x_2,minus_Sensor1_y_plus_Sensor2_y_2,minus_Sensor1_z_plus_Sensor2_z_2,minus_Sensor2_x_plus_Sensor1_x_2,minus_Sensor2_y_plus_Sensor1_y_2,minus_Sensor2_z_plus_Sensor1_z_2,timestamp_3,Sensor1_x_3,Sensor1_y_3,Sensor1_z_3,Sensor2_x_3,Sensor2_y_3,Sensor2_z_3,Diff_x_3,Diff_y_3,Diff_z_3,Diff_inv_x_3,Diff_inv_y_3,Diff_inv_z_3,minus_Sensor1_x_plus_Sensor2_x_3,minus_Sensor1_y_plus_Sensor2_y_3,minus_Sensor1_z_plus_Sensor2_z_3,minus_Sensor2_x_plus_Sensor1_x_3,minus_Sensor2_y_plus_Sensor1_y_3,minus_Sensor2_z_plus_Sensor1_z_3,timestamp_avg,Sensor1_x_avg,Sensor1_y_avg,Sensor1_z_avg,Sensor2_x_avg,Sensor2_y_avg,Sensor2_z_avg,Diff_x_avg,Diff_y_avg,Diff_z_avg,Diff_inv_x_avg,Diff_inv_y_avg,Diff_inv_z_avg,minus_Sensor1_x_plus_Sensor2_x_avg,minus_Sensor1_y_plus_Sensor2_y_avg,minus_Sensor1_z_plus_Sensor2_z_avg,minus_Sensor2_x_plus_Sensor1_x_avg,minus_Sensor2_y_plus_Sensor1_y_avg,minus_Sensor2_z_plus_Sensor1_z_avg
11,8580.5,76.25791593158917,-8.497200202081782,-5.83868776302116,89.0310292799681,-8.060698141540744,-5.938767714010358,11.0,-1.9595019730126095,-0.07196051390639968,-2.5,17.1951391746147,4.026463255583815,12.773113348378928,0.43650206054103746,-0.10007995098919764,-12.773113348378928,-0.43650206054103746,0.10007995098919764,9650.5,77.97445203234506,-9.708772708229503,-14.202181886850635,93.35551090999016,-8.747999001408996,-15.332317838684364,11.0,-2.8401600800788414,-0.49282965550616953,-2.25,18.084818731298263,4.44534208151892,15.381058877645106,0.9607737068205058,-1.1301359518337302,-15.381058877645106,-0.9607737068205058,1.1301359518337302,,,,,,,,,,,,,,,,,,,,9115.5,77.11618398196711,-9.102986455155643,-10.020434824935897,91.19327009497913,-8.40434857147487,-10.63554277634736,11.0,-2.3998310265457254,-0.2823950847062846,-2.375,17.639978952956483,4.235902668551367,14.077086113012017,0.6986378836807716,-0.6151079514114639,-14.077086113012017,-0.6986378836807716,0.6151079514114639
12,8584.0,75.64682005570275,-8.437902980027074,-5.5314810403050005,89.3680824590412,-7.606613608264314,-6.099349229588398,12.0,-1.7885621049222997,-0.5732781950650819,-3.3333333333333335,17.13122974664982,4.215879996093391,13.721262403338457,0.8312893717627586,-0.5678681892833986,-13.721262403338457,-0.8312893717627586,0.5678681892833986,9654.0,77.29321945824908,-9.595159002177688,-13.723335996965247,93.47773359067905,-8.292825446354009,-15.16049402087652,12.0,-2.8018015725020096,-0.8639766014374123,-3.0,18.1450784697571,4.498389463512572,16.18451413242997,1.3023335558236788,-1.4371580239112731,-16.18451413242997,-1.3023335558236788,1.4371580239112731,,,,,,,,,,,,,,,,,,,,9119.0,76.47001975697592,-9.016530991102382,-9.627408518635123,91.42290802486013,-7.949719527309162,-10.629921625232459,12.0,-2.2951818387121548,-0.7186273982512471,-3.166666666666667,17.63815410820346,4.357134729802981,14.952888267884214,1.0668114637932187,-1.0025131065973358,-14.952888267884214,-1.0668114637932187,1.0025131065973358
13,8586.5,75.1884509081319,-8.388310088404005,-5.236802764451223,89.65416635003444,-7.242559911184781,-6.363423974108363,13.0,-1.6368847837450957,-1.1643438165093194,-4.0,17.08811349740872,4.569455653931509,14.465715441902539,1.1457501772192247,-1.1266212096571397,-14.465715441902539,-1.1457501772192247,1.1266212096571397,9657.0,76.70669623096659,-9.516042704915849,-13.193674456973492,93.60016998445253,-7.869539537821976,-15.08699335303153,13.0,-2.7042225127918993,-1.3878029212721952,-4.0,18.15906401578358,4.738529465809427,16.893473753485946,1.6465031670938732,-1.8933188960580374,-16.893473753485946,-1.6465031670938732,1.8933188960580374,10615.5,78.99624099974216,-10.138040199828133,-13.446152713104167,97.14343512165058,-9.829889392398774,-16.804531488577304,13.0,-4.4272124229606,-2.486364844810123,-4.0,19.982819597455066,5.613991487552421,18.14719412190843,0.30815080742935774,-3.3583787754731382,-18.14719412190843,-0.30815080742935774,3.3583787754731382,9619.666666666666,76.96379604628021,-9.347464331049329,-10.62554331150963,93.46592381871251,-8.31399628046851,-12.751649605239066,13.0,-2.9227732398325315,-1.6795038608638793,-4.0,18.409999036882454,4.97399220243112,16.502127772432306,1.0334680505808185,-2.1261062937294386,-16.502127772432306,-1.0334680505808185,2.1261062937294386
14,8589.0,74.7320823914818,-8.336073063826833,-4.912729668592184,89.93611411499076,-6.891180316212861,-6.681343345828289,14.0,-1.4859973735863985,-1.8417157576681629,-5.0,17.067501718195025,5.015680240994942,15.204031723508967,1.4448927476139708,-1.768613677236105,-15.204031723508967,-1.4448927476139708,1.768613677236105,9660.0,76.10117495939603,-9.434186771587694,-12.599650861959715,93.7408931163635,-7.410515406468396,-15.126643909289227,14.0,-2.5659218152274175,-2.0995788699286737,-5.0,18.16651023624829,5.157922145910166,17.639718156967458,2.023671365119298,-2.526993047329512,-17.639718156967458,-2.023671365119298,2.526993047329512,10627.0,78.34902884789446,-9.949170795513377,-13.021451061202331,96.78928555816498,-9.334737373468903,-16.346731228921655,14.0,-4.207970071983392,-2.5582723922471335,-4.533333333333333,19.825452640290802,5.505263888433538,18.440256710270525,0.6144334220444735,-3.325280167719325,-18.440256710270525,-0.6144334220444735,3.325280167719325,9625.333333333334,76.39409539959077,-9.239810210309301,-10.177943863918076,93.48876426317308,-7.878811032050052,-12.718239494679723,14.0,-2.753296420265736,-2.1665223399479903,-4.844444444444444,18.353154864911374,5.226288758446215,17.094668863582317,1.3609991782592472,-2.5402956307616473,-17.094668863582317,-1.3609991782592472,2.5402956307616473
15,8592.0,74.14773111648233,-8.223406770041022,-4.544089039069405,90.22569326585393,-6.4658086580426835,-7.031794303281018,15.0,-1.337276275603876,-2.6123449365315436,-6.0,17.088123982452906,5.514208732430455,16.07796214937161,1.7575981119983382,-2.487705264211613,-16.07796214937161,-1.7575981119983382,2.487705264211613,9663.0,75.47543816028333,-9.300425568012523,-12.053733906477612,93.89599642029776,-6.929030114089703,-15.273357275260487,15.0,-2.4540930711919375,-2.8807684804967146,-5.666666666666667,18.226277153788384,5.6456553953022235,18.42055826001444,2.371395453922819,-3.2196233687828744,-18.42055826001444,-2.371395453922819,3.2196233687828744,10638.5,77.35012977471362,-9.647906229127244,-12.387819876490225,96.43438405502536,-8.530964972049551,-15.763450670707256,15.0,-3.8995199331831687,-2.774086574343751,-5.5,19.639635450193488,5.38914282536565,19.08425428031174,1.1169412570776933,-3.3756307942170305,-19.08425428031174,-1.1169412570776933,3.3756307942170305,9631.166666666666,75.6577663504931,-9.057246189060264,-9.661880940679081,93.51869124705901,-7.308601248060646,-12.68953408308292,15.0,-2.563629759992994,-2.755733330457337,-5.722222222222222,18.318012195478257,5.516335651032776,17.86092489656593,1.7486449409996168,-3.0276531424038393,-17.86092489656593,-1.7486449409996168,3.0276531424038393
16,8595.0,73.51863355130443,-8.105478481405006,-4.182006643614537,90.44789523888066,-5.989741180589125,-7.28224540211212,16.0,-1.1272686695263012,-3.2846925222624495,-6.666666666666667,17.056642410647953,5.92306407621875,16.929261687576233,2.1157373008158795,-3.100238758497582,-16.929261687576233,-2.1157373008158795,3.100238758497582,9666.0,74.80534183529524,-9.135608826491517,-11.524612034307532,94.04224564899242,-6.417836914806845,-15.452593626031602,16.0,-2.3392985350017095,-3.689939381242754,-6.666666666666667,18.310379213436452,6.153249087479831,19.23690381369717,2.7177719116846717,-3.9279815917240684,-19.23690381369717,-2.7177719116846717,3.9279815917240684,10645.5,76.49648974739635,-9.40996289848871,-11.539830865328467,96.16078343320913,-7.9128963386151865,-15.200356885279007,16.0,-3.6286851739823156,-3.205388059074423,-6.5,19.512930617654295,5.521599820448995,19.664293685812773,1.4970665598735227,-3.6605260199505403,-19.664293685812773,-1.4970665598735227,3.6605260199505403,9635.5,74.94015504466535,-8.88368340212841,-9.082149847750179,93.55030810702742,-6.773491478003719,-12.645065304474244,16.0,-2.365084126170109,-3.393339987526542,-6.611111111111112,18.2933174139129,5.865970994715859,18.61015306236206,2.1101919241246914,-3.5629154567240633,-18.61015306236206,-2.1101919241246914,3.5629154567240633
17,8599.0,72.83911335488571,-7.988462633861149,-3.904804557822876,90.64688394867554,-5.435243836316839,-7.403993675005177,17.0,-0.8474938490648813,-3.750226918204342,-7.8,16.949706829188948,6.123750959398028,17.807770593789805,2.5532187975443095,-3.4991891171822997,-17.807770593789805,-2.5532187975443095,3.4991891171822997,9668.5,74.20653090152749,-8.995837959270748,-11.083053575518965,94.14870579419681,-5.943650020678572,-15.578855625129387,17.0,-2.1950139707875724,-4.352096563382247,-7.5,18.352138252560806,6.555878580015028,19.942174892669335,3.0521879385921755,-4.495802049610422,-19.942174892669335,-3.0521879385921755,4.495802049610422,10651.0,75.74251131617754,-9.268085379996233,-10.919353824426391,96.01195907431904,-7.320761141930072,-14.777944089520371,17.0,-3.313757763720217,-3.5228183632633288,-7.4,19.334350507385228,5.56046829237584,20.26944775814149,1.9473242380661606,-3.85859026509398,-20.26944775814149,-1.9473242380661606,3.85859026509398,9639.5,74.26271852419691,-8.750795324376044,-8.635737319256078,93.60251627239712,-6.23321833297516,-12.586931129884979,17.0,-2.118755194524224,-3.8750472816166392,-7.566666666666667,18.21206519637833,6.080032610596299,19.33979774820021,2.517576991400882,-3.951193810628901,-19.33979774820021,-2.517576991400882,3.951193810628901
18,8603.0,72.1447497345082,-7.841083215190017,-3.84572897867186,90.9283280388678,-4.802850320214379,-7.33359741376038,18.0,-0.5720660674752244,-3.8170990199343193,-8.666666666666666,16.803957468260847,5.903756722274843,18.78357830435961,3.038232894975638,-3.487868435088519,-18.78357830435961,-3.038232894975638,3.487868435088519,9671.5,73.56587443096001,-8.852117434940556,-10.673161045556302,94.23646346760485,-5.484127456971418,-15.612391666786118,18.0,-2.066795985103634,-4.892539634108418,-8.25,18.40968692235207,6.827868440626114,20.670589036644845,3.3679899779691373,-4.939230621229815,-20.670589036644845,-3.3679899779691373,4.939230621229815,10655.5,75.00575971012194,-9.193732573842347,-10.465122091741256,96.01737354483751,-6.695670769836353,-14.533072990802484,18.0,-2.961396632580576,-3.8384218799906553,-8.5,19.13550990208262,5.57594014101309,21.011613834715572,2.498061804005994,-4.06795089906123,-21.011613834715572,-2.498061804005994,4.06795089906123,9643.333333333334,73.57212795853005,-8.628977741324308,-8.328004038656472,93.72738835043673,-5.6608828490073835,-12.49302069044966,18.0,-1.8667528950531451,-4.182686844677797,-8.472222222222221,18.116384764231842,6.102521767971349,20.155260391906676,2.9680948923169233,-4.165016651793188,-20.155260391906676,-2.9680948923169233,4.165016651793188
19,8606.0,71.56162416997665,-7.732258365957812,-3.7068912947331554,91.23846176473167,-4.245357189023367,-7.153544798828736,19.0,-0.2948294041821195,-3.848514166132778,-10.0,16.64227373062002,5.6764514938131105,19.67683759475501,3.4869011769344453,-3.4466535040955795,-19.67683759475501,-3.4869011769344453,3.4466535040955795,9674.0,72.80361516721345,-8.743939786066083,-10.211962820097495,94.27903565187236,-4.980907973870119,-15.527903718755804,19.0,-1.8661363308816892,-5.370484699938105,-9.0,18.412541158843947,7.009555379854598,21.475420484658912,3.7630318121959636,-5.315940898658308,-21.475420484658912,-3.7630318121959636,5.315940898658308,10659.0,74.32737823045309,-9.066505056683887,-9.997693381602458,96.09224739090098,-6.13793697194406,-14.357823831127034,19.0,-2.7064791444034166,-4.241151105251464,-9.333333333333334,19.050332118958256,5.684161663650726,21.764869160447898,2.928568084739828,-4.3601304495245765,-21.764869160447898,-2.928568084739828,4.3601304495245765,9646.333333333334,72.8975391892144,-8.514234402902593,-7.972182498811037,93.86991493583501,-5.121400711612516,-12.34642411623719,19.0,-1.6224816264890751,-4.48671665710745,-9.444444444444445,18.03504900280741,6.123389512439478,20.97237574662061,3.392833691290079,-4.374241617426154,-20.97237574662061,-3.392833691290079,4.374241617426154
20,8609.0,70.99919478373266,-7.614327147306734,-3.3123936773615323,91.52961801430746,-3.7770683874441464,-6.935398437349697,20.0,-0.04223750498508435,-4.100827919098566,-11.0,16.544412906273323,5.676898861956577,20.5304232305748,3.837258759862588,-3.623004759988165,-20.5304232305748,-3.837258759862588,3.623004759988165,9676.0,72.08235439280229,-8.679749261337664,-9.835777060392358,94.25824341075774,-4.505468638436905,-15.368305037859324,20.0,-1.6189483808831817,-5.674319241596071,-10.0,18.337300367548377,7.062840073910883,22.175889017955456,4.174280622900759,-5.532527977466969,-22.175889017955456,-4.174280622900759,5.532527977466969,10662.0,73.66319949542029,-8.876736173887366,-9.428981690471447,96.14495003352944,-5.634153386624411,-14.181699717940333,20.0,-2.510316763394989,-4.755919393081216,-10.333333333333334,19.047951186238535,5.916837953516975,22.481750538109154,3.2425827872629553,-4.7527180274688865,-22.481750538109154,-3.2425827872629553,4.7527180274688865,9649.0,72.24824955731842,-8.390270860843922,-7.525717476075113,93.97760381953155,-4.638896804168488,-12.161801064383118,20.0,-1.3905008830877517,-4.843688851258618,-10.444444444444445,17.97655482002008,6.218858963128145,21.729354262213135,3.7513740566754343,-4.636083588308007,-21.729354262213135,-3.7513740566754343,4.636083588308007
