Time,w1,x1,y1,z1,w2,x2,y2,z2
1710521920.981523,0.1238714903593063,0.1942858546972274,-0.1045409590005874,0.967460572719574,0.7391650676727295,-0.0871685594320297,-0.0166865922510623,0.6676512360572815
1710521920.9856892,0.12384681205569409,0.19427400821232962,-0.10457029422410093,0.967462940517947,0.7391569452251462,-0.08716635273386245,-0.016680166038784992,0.6676606473065109
1710521920.9898553,0.12382233990500811,0.19426233318337474,-0.10459964285911243,0.9674652459411829,0.739149011725315,-0.08716397767850209,-0.01667378044021888,0.6676698704297525
1710521920.9940214,0.1238158551177233,0.19426561811840543,-0.10463016168118847,0.9674621089761987,0.7391575643939986,-0.08714691303289766,-0.01667093849051465,0.667662679085496
1710521920.9981875,0.12380937033043851,0.1942689030534361,-0.1046606805032645,0.9674589720112143,0.7391661170626822,-0.08712984838729322,-0.016668096540810414,0.6676554877412396
1710521921.0023537,0.12381405822759145,0.19426068079476694,-0.10467667765398952,0.9674583102356149,0.7391751066418875,-0.08713038044775212,-0.016672956806468943,0.6676453737185583
1710521921.0065196,0.12381877662991726,0.1942524273118343,-0.10469263389150772,0.9674576553154183,0.7391840969100414,-0.08713096094519913,-0.016677838008559535,0.6676352522246102
1710521921.0106857,0.12377234648538314,0.19420371281109305,-0.1047643118708163,0.9674656030700927,0.7391709880540014,-0.08713029506300751,-0.016683012434497452,0.6676497447172475
1710521921.0148518,0.12372566336188344,0.19415479819493262,-0.10483626544198475,0.9674735933732639,0.7391577698944802,-0.08712962301613301,-0.016688188309321166,0.6676643589520438
1710521921.019018,0.12373459212083851,0.19410697247025469,-0.1049087091068589,0.9674741915170572,0.7391535411355633,-0.0871268855464085,-0.01669363595471648,0.6676692286312995
1710521921.023184,0.123744392549845,0.19405948619964594,-0.1049807332159916,0.9674746554542919,0.7391495485534076,-0.08712420820946995,-0.016699129447134847,0.6676738277984878
1710521921.0273502,0.12378101074231994,0.19405159692930352,-0.10500121426458439,0.9674693318604339,0.7391614379130239,-0.08713174627049532,-0.0167097941953168,0.6676594540950711
1710521921.0315163,0.12381762893479488,0.19404370765896106,-0.10502169531317716,0.967464008266576,0.7391733272726403,-0.08713928433152068,-0.016720458943498755,0.6676450803916544
1710521921.0356824,0.12380563557710686,0.1940321672307238,-0.10503559131535026,0.9674663251107486,0.7391746643091973,-0.08713999033107397,-0.0167307868021607,0.6676431890178668
1710521921.0398486,0.1237930231965315,0.19402072932859252,-0.10504947943372715,0.9674687015901413,0.739175853629275,-0.087140406807899,-0.016741088321417446,0.6676414994674134
1710521921.0440147,0.12374536695055338,0.19402608909177374,-0.10506852573503189,0.9674716759642144,0.7391676961875101,-0.08710949245955012,-0.01674827209741207,0.6676543982381462
1710521921.0481808,0.12369771070457526,0.19403144885495494,-0.10508757203633662,0.9674746503382874,0.7391595387457452,-0.08707857811120122,-0.01675545587340669,0.6676672970088791
1710521921.0523467,0.12371022028495784,0.19399204860219843,-0.10506708992378432,0.9674831570330448,0.739158103998759,-0.08707952862411868,-0.016760283026749572,0.6676686319171969
1710521921.0565128,0.12372373859897057,0.19395197801791067,-0.10504596098528544,0.9674917387305674,0.7391568083756966,-0.08708095828552455,-0.016765066482134102,0.6676697510161952
1710521921.060679,0.12374292274079587,0.1939757266109257,-0.10503491964509161,0.9674857324805566,0.7391782336555857,-0.08703987448958679,-0.016765891034180053,0.6676513736840728
1710521921.064845,0.12376176043199769,0.19399939246925424,-0.10502387230334648,0.9674797877803679,0.7391994499226032,-0.08699844047218622,-0.016766604938600483,0.6676332759131802
1710521921.0690112,0.12372784037913336,0.19401045943146528,-0.1050119110411588,0.9674832159302784,0.7391888375628802,-0.08690367448466059,-0.016750469344959308,0.6676577499225412
1710521921.0731773,0.12369401688272111,0.19402120814910756,-0.10499984312705905,0.9674867069507167,0.7391782224539575,-0.08680950252015751,-0.016734561551986007,0.6676821442663001
1710521921.0773435,0.12367381412614824,0.1939870636837188,-0.10497273035664828,0.9674990668047104,0.7391672195290417,-0.0867991264374789,-0.016750788469487046,0.6676953005786659
1710521921.0815096,0.12365361136957535,0.19395291921833002,-0.10494561758623751,0.9675114266587043,0.7391562166041259,-0.08678875035480031,-0.01676701538698808,0.6677084568910316
1710521921.0856757,0.12367164218172286,0.1939498105266959,-0.104934578816603,0.9675109439828808,0.7391844150897058,-0.0867445915883833,-0.016771589980887545,0.6676828593026818
1710521921.0898418,0.1236901986860318,0.19394712856119628,-0.10492376105631952,0.9675102847287916,0.7392131525747802,-0.08669996832721395,-0.016776004361252542,0.6676567288678696
1710521921.094008,0.12368266920814762,0.1939178588733191,-0.10487487211287716,0.967522414278729,0.7392020507514339,-0.08669445586300815,-0.01675544197771779,0.6676702220820754
1710521921.0981739,0.12367503241051073,0.19388856560188636,-0.10482598387695331,0.9675345621915374,0.7391908668150615,-0.08668890845286172,-0.01673481254452026,0.6676838124513694
1710521921.10234,0.12365383845429083,0.19387492222618924,-0.10481137985809068,0.9675415894644992,0.739187487743382,-0.08663510122185902,-0.016713378427509012,0.6676950859913975
1710521921.106506,0.12363288358844181,0.19386104808261287,-0.10479686198004613,0.9675486228374807,0.739184233026767,-0.08658162606798786,-0.016692151189430578,0.6677061738410928
1710521921.1106722,0.12363655787710703,0.19382340210023327,-0.10479121763174973,0.9675562845851037,0.7391937883622056,-0.08656235881196443,-0.01669223494427625,0.6676981333759067
1710521921.1148384,0.12364023216577226,0.19378575611785367,-0.10478557328345334,0.9675639463327267,0.7392033436976442,-0.08654309155594099,-0.016692318699121928,0.6676900929107205
