Snapshot Counter,Time,w1,x1,y1,z1,loc1_x,loc1_y,loc1_z,time2,w2,x2,y2,z2,loc2_x,loc2_y,loc2_z,stylus_x,stylus_y,stylus_z
1,1709907594.440681,0.0310237817466259,-0.09655959159135818,-0.09099821746349335,-0.9906730055809021,11.835317611694336,9.145608901977539,45.519004821777344,1709907594.440685,-0.005976581946015358,0.013073282316327095,0.019364874809980392,0.9997091293334961,17.59195899963379,-4.518577575683594,-44.762969970703125,44.78213119506836,13.151195526123047,46.87134552001953
2,1709907601.315541,0.03260960802435875,-0.11404570192098618,-0.07701288163661957,-0.9899490475654602,13.701519012451172,9.055026054382324,45.174442291259766,1709907601.315546,-0.005214138887822628,0.031381551176309586,0.014738824218511581,0.9993851780891418,15.630288124084473,-4.355696678161621,-45.41666030883789,2.486084461212158,8.550691604614258,49.4363899230957
3,1709907606.265457,0.03345519304275513,-0.11458031833171844,-0.08840741962194443,-0.9889065027236938,13.748237609863281,9.029672622680664,45.05654525756836,1709907606.265534,-0.005484094377607107,0.03141697868704796,0.016294844448566437,0.9993584752082825,15.665452003479004,-4.44719123840332,-45.33535385131836,4.51889705657959,-11.257421493530273,-69.82061004638672
4,1709907616.898574,0.03355001285672188,-0.11535704880952835,-0.09089116752147675,-0.9885877966880798,13.775080680847168,9.000983238220215,45.05792999267578,1709907616.898578,-0.004782387055456638,0.03148895502090454,0.019261574372649193,0.9993070363998413,15.639394760131836,-4.392815589904785,-45.359127044677734,11.747004508972168,-23.10915184020996,-48.97190856933594
5,1709907624.606735,0.03299031779170036,-0.11546174436807632,-0.09014948457479477,-0.9886623024940491,13.784560203552246,9.044171333312988,45.06265640258789,1709907624.606741,-0.005763893947005272,0.03186908736824989,0.016901895403862,0.9993324875831604,15.627959251403809,-4.448056697845459,-45.36916732788086,47.54486846923828,-13.05855655670166,-38.79187774658203
6,1709907629.631588,0.03274344652891159,-0.11531338840723038,-0.09056811034679413,-0.9886496067047119,13.77851676940918,9.03427791595459,45.05833053588867,1709907629.631592,-0.005652702413499355,0.03164301812648773,0.017298396676778793,0.9993335008621216,15.634557723999023,-4.457662105560303,-45.35592269897461,42.934818267822266,-18.135276794433594,-64.38108825683594
