Snapshot Counter,Time,w1,x1,y1,z1,loc1_x,loc1_y,loc1_z,time2,w2,x2,y2,z2,loc2_x,loc2_y,loc2_z,stylus_x,stylus_y,stylus_z
1,1709906876.3177059,0.027317481115460396,0.10704178363084793,-0.08316510915756226,0.9903934597969055,17.31671142578125,-4.010555744171143,-76.81163024902344,1709906876.3177102,-0.002242197748273611,0.05006631836295128,-0.08904246240854263,0.994766116142273,9.6530179977417,1.4747973680496216,76.67005920410156,48.6104621887207,-5.033791542053223,-78.86909484863281
2,1709906885.3091998,0.028810204938054085,0.10693664848804474,-0.08114182949066162,0.9905303716659546,17.290515899658203,-3.962803363800049,-76.7916030883789,1709906885.3092039,-0.0025059697218239307,0.05073103308677673,-0.08828923851251602,0.9947989583015442,9.657071113586426,1.4469807147979736,76.651123046875,8.693100929260254,-4.61763334274292,-74.12689971923828
3,1709906886.6091762,0.028959231451153755,0.10675040632486343,-0.08074828237295151,0.990578293800354,17.276521682739258,-3.9754862785339355,-76.78826141357422,1709906886.60918,-0.0023245015181601048,0.05074934661388397,-0.08787453174591064,0.9948351979255676,9.66019344329834,1.4548125267028809,76.64671325683594,8.661787033081055,-4.638461112976074,-74.11323547363281
4,1709906887.409085,0.029242604970932007,0.1069282740354538,-0.08129147440195084,0.9905063509941101,17.273061752319336,-3.968266010284424,-76.80374145507812,1709906887.40909,-0.0023030638694763184,0.050672005861997604,-0.08843084424734116,0.9947898983955383,9.665491104125977,1.4519745111465454,76.65794372558594,8.682567596435547,-4.628292083740234,-74.13179016113281
5,1709906888.0757198,0.028892897069454193,0.10699812322854996,-0.08120875060558319,0.9905158281326294,17.270280838012695,-3.963961362838745,-76.80045318603516,1709906888.0757241,-0.0024579346645623446,0.05058220773935318,-0.08868035674095154,0.9947718977928162,9.662395477294922,1.4407334327697754,76.655517578125,8.664682388305664,-4.684299468994141,-74.11576843261719
6,1709906889.66737,0.029065359383821487,0.1068340539932251,-0.08156655728816986,0.9904990792274475,17.26185417175293,-3.9583423137664795,-76.80545806884766,1709906889.667375,-0.00236398633569479,0.05067664012312889,-0.08902867138385773,0.9947361946105957,9.670947074890137,1.4361158609390259,76.65670776367188,8.633028030395508,-4.673033714294434,-74.1379165649414
7,1709906890.459054,0.028824979439377785,0.10680216550827026,-0.08186573535203934,0.990484893321991,17.2757568359375,-3.9526593685150146,-76.80610656738281,1709906890.459059,-0.002389743225648999,0.05057820677757263,-0.08924601972103119,0.9947216510772705,9.658727645874023,1.4230608940124512,76.66157531738281,8.654387474060059,-4.6949543952941895,-74.12980651855469
8,1709906894.20893,0.028715357184410095,0.10626926273107529,-0.08505450189113617,0.9902766942977905,17.283693313598633,-3.935887575149536,-76.8293228149414,1709906894.208935,-0.0025141278747469187,0.05031106248497963,-0.09323461353778839,0.9943689703941345,9.658069610595703,1.3811883926391602,76.6764907836914,8.647021293640137,-4.61971378326416,-74.26236724853516
1,1709906916.291618,0.025271156802773476,0.10479094833135605,-0.08495093137025833,0.9905369281768799,17.410036087036133,-4.006103515625,-76.83687591552734,1709906916.291622,-0.001458495855331421,0.050308991223573685,-0.09069851785898209,0.9946057200431824,9.534285545349121,1.4083596467971802,76.7386703491211,49.160614013671875,-4.660798072814941,-78.10665893554688
2,1709906923.4913878,0.030017076060175896,0.10244593769311905,-0.08349937945604324,0.9907732605934143,17.321969985961914,-3.99692440032959,-76.84376525878906,1709906923.491393,-0.001697866478934884,0.05094663053750992,-0.09148339182138443,0.994500994682312,9.572105407714844,1.3922855854034424,76.73308563232422,9.68522834777832,-5.033326625823975,-74.07527160644531
3,1709906928.191231,0.02685152180492878,0.10588385164737701,-0.08663918823003769,0.9902328848838806,17.352476119995117,-3.9554171562194824,-76.8797378540039,1709906928.191235,-0.002221059752628207,0.04986577481031418,-0.09827319532632828,0.9939067959785461,9.558168411254883,1.2702968120574951,76.76670837402344,9.672374725341797,-7.193571090698242,-65.72965240478516
4,1709906933.891053,0.027123646810650826,0.10502377152442932,-0.08802257478237152,0.990195095539093,17.371944427490234,-3.929697275161743,-76.8717041015625,1709906933.891057,-0.0016205899883061647,0.05001037195324898,-0.0997576117515564,0.9937528371810913,9.560492515563965,1.2404729127883911,76.7551040649414,1.315757393836975,-9.311058044433594,-70.90152740478516
5,1709906937.590941,0.027415208518505096,0.1051909327507019,-0.08765345066785812,0.9902020692825317,17.344398498535156,-3.966636896133423,-76.86844635009766,1709906937.590945,-0.001834027236327529,0.04952719062566757,-0.09686584770679474,0.9940627217292786,9.596814155578613,1.3043065071105957,76.75164794921875,24.344486236572266,5.08878231048584,82.80809783935547
6,1709906942.607425,0.026893841102719307,0.10537949204444885,-0.08881530910730362,0.9900927543640137,17.35002899169922,-3.899066209793091,-76.9123764038086,1709906942.60743,-0.002374437404796481,0.04929617792367935,-0.09884881973266602,0.9938777685165405,9.578506469726562,1.241466999053955,76.7724609375,24.61383056640625,15.406963348388672,61.291622161865234
